Dataset	k	F1	AUC	AUPRC	MINPSE	ACC	Tr-SIL	Tr-HTFD	Tr-WDFD	F1_STD	AUC_STD	AUPRC_STD	MINPSE_STD	ACC_STD	Tr-SIL_STD	Tr-HTFD_STD	Tr-WDFD_STD

diabetes	1	0.422	0.570	0.460	0.258	0.593	0.000	0.000	0.000	0.032	0.009	0.008	0.086	0.004	0.000	nan	nan
diabetes	2	0.422	0.573	0.462	0.289	0.595	0.319	0.000	0.000	0.022	0.008	0.006	0.020	0.003	0.226	nan	nan
diabetes	3	0.433	0.570	0.459	0.292	0.593	0.139	0.000	0.000	0.029	0.007	0.009	0.021	0.002	0.063	nan	nan
diabetes	4	0.427	0.570	0.460	0.285	0.594	0.098	0.000	0.000	0.026	0.004	0.005	0.023	0.003	0.110	nan	nan
cic	1	0.550	0.759	0.390	0.286	0.867	0.000	0.000	0.000	0.091	0.065	0.094	0.180	0.013	0.000	nan	nan
cic	2	0.641	0.818	0.466	0.421	0.876	0.417	0.000	0.000	0.080	0.038	0.074	0.148	0.013	0.211	nan	nan
cic	3	0.628	0.782	0.435	0.450	0.874	0.332	0.000	0.000	0.069	0.075	0.091	0.058	0.011	0.123	nan	nan
cic	4	0.603	0.765	0.393	0.382	0.853	0.204	0.000	0.000	0.061	0.069	0.095	0.089	0.055	0.068	nan	nan
cic_los	1	0.288	0.506	0.281	0.346	0.337	0.000	0.000	0.000	0.048	0.022	0.014	0.074	0.029	0.000	nan	nan
cic_los	2	0.335	0.510	0.288	0.358	0.365	0.685	0.000	0.000	0.058	0.028	0.022	0.048	0.054	0.124	nan	nan
cic_los	3	0.378	0.500	0.280	0.389	0.393	0.335	0.000	0.000	0.030	0.028	0.023	0.030	0.031	0.179	nan	nan
cic_los	4	0.375	0.505	0.286	0.385	0.395	0.382	0.000	0.000	0.019	0.028	0.022	0.019	0.026	0.130	nan	nan
ards24	1	0.508	0.670	0.187	0.170	0.923	0.000	0.000	0.000	0.032	0.049	0.050	0.150	0.004	0.000	nan	nan
ards24	2	0.503	0.677	0.180	0.216	0.923	0.388	0.000	0.000	0.019	0.026	0.027	0.075	0.004	0.183	nan	nan
ards24	3	0.519	0.678	0.185	0.223	0.921	0.256	0.000	0.000	0.023	0.027	0.038	0.065	0.005	0.151	nan	nan
ards24	4	0.531	0.679	0.190	0.219	0.921	0.133	0.000	0.000	0.030	0.027	0.031	0.083	0.004	0.108	nan	nan
sepsis24	1	0.500	0.753	0.171	0.138	0.938	0.000	0.000	0.000	0.024	0.045	0.039	0.099	0.003	0.000	nan	nan
sepsis24	2	0.507	0.757	0.185	0.179	0.938	0.630	0.000	0.000	0.024	0.047	0.051	0.093	0.002	0.194	nan	nan
sepsis24	3	0.524	0.762	0.202	0.220	0.938	0.388	0.000	0.000	0.027	0.036	0.039	0.054	0.003	0.246	nan	nan
sepsis24	4	0.508	0.761	0.188	0.161	0.937	0.264	0.000	0.000	0.015	0.025	0.031	0.044	0.003	0.174	nan	nan
wid_mortality	1	0.620	0.835	0.402	0.414	0.921	0.000	0.000	0.000	0.038	0.022	0.042	0.037	0.003	0.000	nan	nan
wid_mortality	2	0.617	0.837	0.408	0.413	0.921	0.462	0.000	0.000	0.039	0.034	0.057	0.037	0.003	0.282	nan	nan
wid_mortality	3	0.635	0.847	0.425	0.424	0.922	0.113	0.000	0.000	0.015	0.010	0.017	0.020	0.002	0.143	nan	nan
wid_mortality	4	0.622	0.842	0.408	0.406	0.920	0.125	0.000	0.000	0.030	0.016	0.037	0.034	0.002	0.079	nan	nan
