Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,NMI,ARI,F1_std,AUC_STD,AUPRC_STD,MINPSE_STD,ACC_std,SIL_STD,NMI_STD,ARI_STD
cic,2,0.713,0.801,0.741,0.527,0.500,0.356,0.096,0.123,0.011,0.007,0.010,0.020,0.000,0.030,0.005
cic,3,0.705,0.806,0.750,0.524,0.500,0.345,0.108,0.091,0.005,0.029,0.014,0.017,0.000,0.033,0.014
cic,4,0.604,0.799,0.726,0.326,0.500,0.287,0.084,0.058,0.101,0.016,0.013,0.231,0.000,0.048,0.020
sepsis,2,0.824,0.894,0.835,0.681,0.500,0.291,0.077,0.067,0.007,0.019,0.015,0.005,0.000,0.026,0.016
sepsis,3,0.588,0.771,0.670,0.278,0.500,0.238,0.009,0.010,0.094,0.041,0.042,0.216,0.000,0.073,0.011
sepsis,4,0.519,0.646,0.596,0.125,0.500,0.284,0.015,-0.001,0.054,0.096,0.063,0.177,0.000,0.156,0.009
aki,2,0.622,0.674,0.657,0.610,0.500,0.358,0.046,0.060,0.007,0.007,0.008,0.006,0.000,0.013,0.006
aki,3,0.621,0.672,0.658,0.598,0.500,0.297,0.035,0.032,0.009,0.003,0.004,0.025,0.000,0.022,0.017
aki,4,0.623,0.668,0.652,0.616,0.500,0.340,0.041,0.035,0.014,0.012,0.009,0.018,0.000,0.034,0.004
ards,2,0.492,0.708,0.590,0.166,0.500,0.706,0.000,-0.006,0.013,0.028,0.017,0.124,0.000,0.070,0.000
ards,3,0.482,0.636,0.562,0.024,0.500,0.508,0.001,-0.004,0.001,0.015,0.018,0.034,0.000,0.184,0.000
ards,4,0.481,0.560,0.512,0.000,0.500,0.327,0.005,-0.002,0.000,0.039,0.009,0.000,0.000,0.014,0.001
diabetes,2,0.473,0.575,0.563,0.324,0.500,0.497,0.002,0.000,0.007,0.008,0.006,0.006,0.000,0.204,0.002
diabetes,3,0.467,0.574,0.563,0.323,0.500,0.345,0.001,-0.002,0.007,0.006,0.005,0.002,0.000,0.084,0.001
diabetes,4,0.487,0.576,0.563,0.337,0.500,0.295,0.004,0.001,0.010,0.002,0.001,0.009,0.000,0.071,0.001
heart,2,0.783,0.875,0.882,0.761,0.500,0.365,0.278,0.351,0.052,0.040,0.032,0.053,0.000,0.039,0.106
heart,3,0.795,0.854,0.856,0.774,0.500,0.333,0.262,0.271,0.054,0.055,0.055,0.063,0.000,0.016,0.106
heart,4,0.800,0.871,0.878,0.784,0.500,0.346,0.261,0.264,0.037,0.019,0.022,0.040,0.000,0.019,0.065
cic_los,2,0.470,0.661,0.482,0.476,0.356,0.266,0.064,0.072,0.002,0.006,0.007,0.003,0.009,0.033,0.002
cic_los,3,0.438,0.663,0.487,0.458,0.387,0.260,0.066,0.065,0.039,0.003,0.001,0.027,0.027,0.006,0.007
cic_los,4,0.468,0.668,0.493,0.482,0.347,0.218,0.068,0.057,0.008,0.009,0.010,0.006,0.012,0.041,0.006
wid_mortality,2,0.692,0.857,0.735,0.475,0.500,0.511,0.030,-0.001,0.007,0.009,0.016,0.024,0.000,0.317,0.021
wid_mortality,3,0.675,0.846,0.718,0.456,0.500,0.305,0.049,0.045,0.023,0.004,0.008,0.016,0.000,0.092,0.016
wid_mortality,4,0.659,0.839,0.710,0.437,0.500,0.301,0.054,0.049,0.020,0.017,0.010,0.005,0.000,0.085,0.009
