Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,HTFD_std
cic,1,0.625,0.766,0.654,0.857,0.000,1.802,0.000,0.030,0.027,0.022,0.007,0.000,0.000,0.000
cic,2,0.589,0.737,0.636,0.847,0.000,0.000,0.000,0.091,0.039,0.030,0.015,0.000,0.000,0.000
cic,3,0.619,0.762,0.667,0.845,0.282,1.051,0.635,0.055,0.026,0.016,0.017,0.000,0.000,0.000
cic,4,0.584,0.731,0.636,0.839,0.025,0.000,0.000,0.067,0.039,0.025,0.026,0.000,0.000,0.000
diabetes,1,0.484,0.538,0.531,0.574,0.000,1.802,0.000,0.027,0.007,0.006,0.011,0.000,0.000,0.000
diabetes,2,0.474,0.536,0.530,0.570,0.000,1.802,0.000,0.050,0.005,0.005,0.016,0.000,0.000,0.000
diabetes,3,0.489,0.546,0.539,0.569,0.000,1.802,0.000,0.038,0.007,0.007,0.017,0.000,0.000,0.000
diabetes,4,0.469,0.545,0.536,0.572,0.012,1.712,1.184,0.050,0.008,0.004,0.017,0.000,0.000,0.000
heart,1,0.789,0.814,0.813,0.795,0.000,1.802,0.000,0.035,0.026,0.024,0.038,0.000,0.000,0.000
heart,2,0.796,0.831,0.840,0.803,0.164,0.622,1.055,0.033,0.074,0.068,0.029,0.000,0.000,0.000
heart,3,0.786,0.857,0.843,0.789,0.108,0.486,1.163,0.048,0.052,0.068,0.048,0.000,0.000,0.000
heart,4,0.798,0.872,0.875,0.803,0.034,0.329,1.241,0.024,0.022,0.027,0.022,0.000,0.000,0.000
cic_los,1,0.432,0.618,0.434,0.476,0.000,1.802,0.000,0.019,0.009,0.008,0.004,0.000,0.000,0.000
cic_los,2,0.400,0.610,0.429,0.460,0.000,1.802,0.000,0.028,0.007,0.007,0.004,0.000,0.000,0.000
cic_los,3,0.428,0.617,0.435,0.475,0.000,0.000,0.000,0.012,0.012,0.013,0.012,0.000,0.000,0.000
cic_los,4,0.369,0.615,0.429,0.422,0.035,0.000,0.000,0.024,0.009,0.007,0.019,0.000,0.000,0.000
sepsis,1,0.590,0.641,0.576,0.922,0.000,1.802,0.000,0.038,0.013,0.018,0.007,0.000,0.000,0.000
sepsis,2,0.498,0.569,0.517,0.920,0.000,1.802,0.000,0.019,0.015,0.003,0.008,0.000,0.000,0.000
sepsis,3,0.504,0.610,0.533,0.921,0.059,1.227,1.627,0.014,0.031,0.016,0.005,0.000,0.000,0.000
sepsis,4,0.514,0.592,0.530,0.905,0.070,1.032,1.736,0.021,0.020,0.007,0.035,0.000,0.000,0.000
aki,1,0.598,0.618,0.601,0.598,0.000,1.802,0.000,0.008,0.008,0.008,0.007,0.000,0.000,0.000
aki,2,0.565,0.603,0.585,0.576,0.342,1.088,2.161,0.042,0.010,0.011,0.025,0.000,0.000,0.000
aki,3,0.514,0.602,0.587,0.552,0.255,0.959,1.660,0.057,0.017,0.015,0.030,0.000,0.000,0.000
aki,4,0.502,0.601,0.583,0.552,0.346,0.000,0.000,0.061,0.008,0.007,0.022,0.000,0.000,0.000
ards,1,0.553,0.619,0.544,0.918,0.000,1.802,0.000,0.017,0.038,0.021,0.005,0.000,0.000,0.000
ards,2,0.531,0.591,0.536,0.920,0.341,1.181,2.293,0.033,0.026,0.007,0.005,0.000,0.000,0.000
ards,3,0.557,0.620,0.556,0.919,0.332,0.828,2.685,0.014,0.025,0.011,0.005,0.000,0.000,0.000
ards,4,0.548,0.613,0.551,0.892,0.314,0.796,2.491,0.042,0.053,0.027,0.039,0.000,0.000,0.000
wid_mortality,1,0.583,0.737,0.616,0.913,0.000,1.802,0.000,0.026,0.023,0.016,0.003,0.000,0.000,0.000
wid_mortality,2,0.534,0.722,0.597,0.896,0.216,1.499,1.275,0.043,0.023,0.013,0.034,0.000,0.000,0.000
wid_mortality,3,0.540,0.708,0.583,0.910,0.205,0.000,0.000,0.038,0.022,0.014,0.004,0.000,0.000,0.000
wid_mortality,4,0.534,0.716,0.593,0.875,0.188,1.480,1.342,0.024,0.019,0.014,0.076,0.000,0.000,0.000

sepsis24,2,0.442,0.656,0.539,0.180,0.500,0.495,1.238,0.143,0.021,0.003,0.195,0.000,0.286,0.633
sepsis24,3,0.501,0.603,0.531,0.196,0.500,0.437,0.900,0.017,0.055,0.012,0.167,0.000,0.171,0.735
sepsis24,4,0.428,0.631,0.531,0.076,0.500,0.254,0.713,0.186,0.066,0.018,0.101,0.000,0.169,0.608
aki24,2,0.437,0.585,0.571,0.348,0.500,0.457,0.687,0.078,0.033,0.027,0.180,0.000,0.297,0.476
aki24,3,0.455,0.585,0.573,0.476,0.500,0.098,0.257,0.096,0.019,0.019,0.032,0.000,0.071,0.514
aki24,4,0.445,0.553,0.545,0.350,0.500,0.105,0.515,0.100,0.049,0.045,0.190,0.000,0.024,0.475
ards24,2,0.509,0.584,0.536,0.087,0.500,0.239,1.095,0.041,0.041,0.017,0.111,0.000,0.231,0.671
ards24,3,0.515,0.571,0.525,0.171,0.500,0.248,0.895,0.034,0.036,0.012,0.088,0.000,0.150,0.437
ards24,4,0.436,0.629,0.551,0.234,0.500,0.139,0.000,0.189,0.024,0.016,0.139,0.000,0.059,0.000
