Dataset,k,F1,AUC,AUPRC,MINPSE,SIL,NMI,ARI,F1_STD,AUC_STD,AUPRC_std,MINPSE_STD,SIL_STD,NMI_STD,ARI_STD
heart,2,0.802,0.896,0.904,0.000,0.520,0.344,0.410,0.039,0.031,0.028,0.000,0.032,0.103,0.111
heart,3,0.849,0.922,0.924,0.000,0.544,0.364,0.317,0.017,0.022,0.023,0.000,0.031,0.076,0.072
heart,4,0.859,0.924,0.926,0.000,0.467,0.327,0.267,0.035,0.023,0.023,0.000,0.011,0.062,0.055
diabetes,2,0.441,0.578,0.564,0.000,0.474,0.010,-0.008,0.011,0.007,0.006,0.000,0.010,0.002,0.001
diabetes,3,0.444,0.577,0.563,0.000,0.348,0.009,-0.004,0.013,0.006,0.005,0.000,0.005,0.001,0.001
diabetes,4,0.451,0.577,0.563,0.000,0.257,0.008,-0.001,0.011,0.006,0.005,0.000,0.013,0.001,0.002
cic,2,0.688,0.828,0.747,0.000,0.503,0.100,0.084,0.005,0.013,0.015,0.000,0.013,0.014,0.028
cic,3,0.737,0.837,0.779,0.000,0.431,0.110,0.078,0.034,0.013,0.029,0.000,0.002,0.014,0.018
cic,4,0.640,0.790,0.726,0.000,0.381,0.092,0.050,0.128,0.080,0.086,0.000,0.005,0.038,0.038
cic_los,2,0.449,0.646,0.469,0.000,0.386,0.070,0.081,0.017,0.001,0.005,0.000,0.028,0.004,0.010
cic_los,3,0.461,0.648,0.472,0.000,0.315,0.070,0.062,0.003,0.007,0.004,0.000,0.019,0.004,0.004
cic_los,4,0.448,0.646,0.469,0.000,0.274,0.066,0.053,0.015,0.002,0.004,0.000,0.032,0.002,0.001
sepsis,2,0.481,0.562,0.527,0.000,0.760,0.002,0.027,0.000,0.014,0.005,0.000,0.003,0.001,0.010
sepsis,3,0.481,0.544,0.541,0.000,0.544,0.002,0.019,0.000,0.022,0.026,0.000,0.093,0.001,0.004
sepsis,4,0.481,0.511,0.503,0.000,0.585,0.002,0.021,0.000,0.008,0.002,0.000,0.015,0.001,0.003
aki,2,0.635,0.687,0.673,0.000,0.519,0.049,0.042,0.005,0.005,0.006,0.000,0.047,0.007,0.014
aki,3,0.639,0.689,0.675,0.000,0.408,0.052,0.050,0.005,0.005,0.007,0.000,0.021,0.007,0.006
aki,4,0.633,0.687,0.674,0.000,0.371,0.049,0.040,0.006,0.004,0.006,0.000,0.022,0.002,0.002
ards,2,0.544,0.663,0.599,0.000,0.627,0.013,0.028,0.048,0.033,0.031,0.000,0.218,0.009,0.024
ards,3,0.481,0.606,0.553,0.000,0.535,0.003,0.001,0.000,0.007,0.008,0.000,0.176,0.003,0.006
ards,4,0.481,0.549,0.524,0.000,0.306,0.005,0.003,0.000,0.012,0.007,0.000,0.026,0.002,0.005
wid_mortality,2,0.692,0.850,0.740,0.000,0.445,0.087,0.082,0.008,0.001,0.002,0.000,0.002,0.005,0.012
wid_mortality,3,0.688,0.849,0.739,0.000,0.409,0.079,0.071,0.010,0.006,0.009,0.000,0.003,0.006,0.004
wid_mortality,4,0.685,0.849,0.736,0.000,0.353,0.088,0.056,0.005,0.008,0.006,0.000,0.005,0.005,0.005
