Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,HTFD_std
cic,1,0.551,0.714,0.635,0.348,0.500,0.000,1.802,0.087,0.089,0.061,0.076,0.000,0.000,0.000
cic,2,0.567,0.766,0.674,0.399,0.500,0.393,1.179,0.056,0.053,0.036,0.043,0.000,0.086,0.167
cic,3,0.481,0.657,0.587,0.430,0.500,0.178,1.044,0.026,0.039,0.032,0.067,0.000,0.123,0.147
cic,4,0.493,0.687,0.618,0.438,0.500,0.171,1.046,0.020,0.029,0.016,0.034,0.000,0.076,0.081
cic_los,1,0.415,0.628,0.446,0.457,0.392,0.000,1.802,0.019,0.014,0.014,0.014,0.019,0.000,0.000
cic_los,2,0.405,0.638,0.452,0.456,0.395,0.327,1.118,0.021,0.012,0.013,0.029,0.017,0.116,0.070
cic_los,3,0.366,0.596,0.406,nan,0.419,0.306,1.047,0.027,0.028,0.029,nan,0.052,0.067,0.041
cic_los,4,0.382,0.623,0.437,0.421,0.410,0.132,1.004,0.017,0.012,0.014,0.063,0.018,0.063,0.129
heart,1,0.805,0.888,0.891,0.784,0.500,0.000,1.802,0.040,0.037,0.039,0.050,0.000,0.000,0.000
heart,2,0.754,0.837,0.840,0.751,0.500,0.236,0.747,0.089,0.098,0.103,0.086,0.000,0.049,0.060
heart,3,0.738,0.850,0.841,0.732,0.500,0.260,0.535,0.058,0.075,0.088,0.059,0.000,0.021,0.023
heart,4,0.771,0.860,0.868,0.760,0.500,0.188,0.433,0.059,0.070,0.072,0.055,0.000,0.025,0.026
diabetes,1,0.441,0.561,0.552,0.298,0.500,0.000,1.802,0.020,0.004,0.004,0.012,0.000,0.000,0.000
diabetes,2,0.415,0.565,0.553,0.274,0.500,0.486,1.607,0.028,0.007,0.007,0.017,0.000,0.300,0.239
diabetes,3,0.384,0.558,0.548,0.260,0.500,0.710,1.489,0.012,0.012,0.010,0.025,0.000,0.292,0.176
diabetes,4,0.390,0.564,0.553,0.266,0.500,0.579,1.397,0.019,0.007,0.005,0.015,0.000,0.257,0.114
sepsis,1,0.587,0.694,0.613,nan,0.500,0.000,1.802,0.128,0.125,0.108,nan,0.000,0.000,0.000
sepsis,2,0.532,0.688,0.595,nan,0.500,0.458,1.461,0.101,0.086,0.088,nan,0.000,0.101,0.145
sepsis,3,0.595,0.743,0.650,0.466,0.500,0.311,1.253,0.127,0.101,0.100,0.129,0.000,0.095,0.114
sepsis,4,0.501,0.700,0.577,0.376,0.500,0.331,1.149,0.026,0.058,0.039,0.069,0.000,0.093,0.06
aki,2,0.625,0.655,0.639,0.622,0.500,0.455,1.214,0.007,0.011,0.015,0.007,0.000,0.169,0.216
aki,3,0.622,0.639,0.625,0.619,0.500,0.553,1.232,0.006,0.024,0.020,0.006,0.000,0.092,0.020
aki,4,0.621,0.639,0.622,0.617,0.500,0.451,0.992,0.002,0.021,0.022,0.002,0.000,0.086,0.145
aki,5,0.624,0.647,0.633,0.617,0.500,0.266,0.966,0.009,0.022,0.020,0.012,0.000,0.094,0.043
ards,2,0.521,0.676,0.580,0.285,0.500,0.509,1.420,0.021,0.039,0.032,0.024,0.000,0.081,0.114
ards,3,0.512,0.700,0.600,0.278,0.500,0.458,1.240,0.025,0.027,0.013,0.062,0.000,0.122,0.091
ards,4,0.516,0.705,0.597,0.249,0.500,0.381,1.145,0.015,0.015,0.013,0.029,0.000,0.099,0.079
ards,5,0.511,0.699,0.592,0.255,0.500,0.445,1.038,0.021,0.016,0.013,0.047,0.000,0.106,0.088
wid_mortality,2,0.627,0.835,0.690,0.430,0.500,0.545,1.357,0.069,0.052,0.061,0.036,0.000,0.229,0.202
wid_mortality,3,0.574,0.799,0.666,0.432,0.500,0.580,1.261,0.075,0.080,0.062,0.048,0.000,0.204,0.135
wid_mortality,4,0.589,0.811,0.677,0.412,0.500,0.579,1.112,0.080,0.053,0.049,0.043,0.000,0.176,0.262

sepsis24,2,0.544,0.792,0.597,0.257,0.500,0.583,1.451,0.019,0.013,0.021,0.041,0.000,0.054,0.012
sepsis24,3,0.535,0.781,0.596,0.239,0.500,0.428,1.443,0.014,0.007,0.012,0.047,0.000,0.205,0.068
sepsis24,4,0.511,0.773,0.601,0.275,0.500,0.339,1.360,0.007,0.014,0.011,0.052,0.000,0.202,0.072

aki24,2,0.626,0.652,0.637,0.610,0.500,0.564,1.152,0.014,0.009,0.011,0.019,0.000,0.099,0.170
aki24,3,0.622,0.640,0.626,0.598,0.500,0.301,1.106,0.012,0.016,0.008,0.017,0.000,0.115,0.032
aki24,4,0.627,0.642,0.626,0.607,0.500,0.324,0.951,0.010,0.022,0.017,0.011,0.000,0.075,0.066

ards24,2,0.512,0.705,0.601,0.332,0.500,0.535,1.167,0.024,0.010,0.009,0.085,0.000,0.057,0.147
ards24,3,0.490,0.648,0.565,0.172,0.500,0.426,1.148,0.011,0.077,0.025,0.192,0.000,0.067,0.123
ards24,4,0.543,0.697,0.588,0.260,0.500,0.339,1.052,0.032,0.019,0.008,0.027,0.000,0.144,0.151
