Dataset	k	F1	AUC	AUPRC	MINPSE	ACC	Tr-SIL	Tr-HTFD	Tr-WDFD	F1_STD	AUC_STD	AUPRC_STD	MINPSE_STD	ACC_STD	Tr-SIL_STD	Tr-HTFD_STD	Tr-WDFD_STD
diabetes	1	0.444	0.565	0.454	0.299	0.594	0.000	0.000	0.000	0.027	0.010	0.010	0.020	0.003	0.000	nan	nan
diabetes	2	0.434	0.564	0.455	0.294	0.593	0.535	0.000	0.000	0.032	0.008	0.006	0.021	0.003	0.222	nan	nan
diabetes	3	0.435	0.568	0.458	0.295	0.593	0.576	0.000	0.000	0.034	0.007	0.007	0.026	0.004	0.256	nan	nan
diabetes	4	0.443	0.571	0.458	0.295	0.592	0.475	0.000	0.000	0.031	0.007	0.007	0.028	0.003	0.250	nan	nan
cic	1	0.706	0.852	0.543	0.520	0.886	0.000	0.000	0.000	0.015	0.011	0.038	0.030	0.005	0.000	nan	nan
cic	2	0.683	0.837	0.515	0.485	0.880	0.432	0.000	0.000	0.031	0.012	0.034	0.048	0.010	0.144	nan	nan
cic	3	0.677	0.832	0.488	0.477	0.879	0.377	0.000	0.000	0.030	0.016	0.045	0.047	0.007	0.155	nan	nan
cic	4	0.688	0.821	0.470	0.484	0.879	0.247	0.000	0.000	0.023	0.020	0.060	0.032	0.006	0.093	nan	nan
cic_los	1	0.366	0.499	0.276	0.378	0.387	0.000	0.000	0.000	0.021	0.024	0.020	0.023	0.030	0.000	nan	nan
cic_los	2	0.360	0.504	0.281	0.376	0.384	0.723	0.000	0.000	0.037	0.029	0.017	0.032	0.038	0.161	nan	nan
cic_los	3	0.373	0.512	0.288	0.381	0.394	0.522	0.000	0.000	0.021	0.024	0.023	0.020	0.025	0.062	nan	nan
cic_los	4	0.356	0.492	0.278	0.364	0.379	0.541	0.000	0.000	0.021	0.028	0.020	0.022	0.030	0.057	nan	nan
ards24	1	0.542	0.715	0.233	0.271	0.922	0.000	0.000	0.000	0.015	0.019	0.021	0.030	0.005	0.000	nan	nan
ards24	2	0.550	0.725	0.229	0.276	0.922	0.388	0.000	0.000	0.025	0.026	0.032	0.029	0.005	0.130	nan	nan
ards24	3	0.549	0.711	0.211	0.264	0.921	0.308	0.000	0.000	0.018	0.020	0.022	0.028	0.004	0.143	nan	nan
ards24	4	0.536	0.696	0.207	0.242	0.921	0.272	0.000	0.000	0.025	0.023	0.030	0.052	0.003	0.102	nan	nan
sepsis24	1	0.553	0.816	0.260	0.285	0.939	0.000	0.000	0.000	0.028	0.012	0.017	0.050	0.003	0.000	nan	nan
sepsis24	2	0.542	0.804	0.232	0.286	0.939	0.663	0.000	0.000	0.016	0.014	0.026	0.043	0.003	0.082	nan	nan
sepsis24	3	0.554	0.797	0.226	0.293	0.939	0.504	0.000	0.000	0.023	0.014	0.031	0.059	0.003	0.124	nan	nan
sepsis24	4	0.520	0.786	0.204	0.209	0.938	0.445	0.000	0.000	0.015	0.013	0.027	0.074	0.003	0.199	nan	nan
wid_mortality	1	0.670	0.859	0.456	0.465	0.925	0.000	0.000	0.000	0.012	0.011	0.016	0.016	0.002	0.000	nan	nan
wid_mortality	2	0.662	0.859	0.446	0.457	0.924	0.491	0.000	0.000	0.014	0.005	0.014	0.017	0.002	0.243	nan	nan
wid_mortality	3	0.657	0.855	0.441	0.442	0.923	0.346	0.000	0.000	0.014	0.004	0.018	0.016	0.002	0.239	nan	nan
wid_mortality	4	0.653	0.853	0.438	0.439	0.923	0.569	0.000	0.000	0.012	0.010	0.017	0.013	0.001	0.170	nan	nan
