Dataset	k	F1	AUC	AUPRC	MINPSE	ACC	Tr-SIL	Tr-HTFD	Tr-WDFD	F1_STD	AUC_STD	AUPRC_STD	MINPSE_STD	ACC_STD	Tr-SIL_STD	Tr-HTFD_STD	Tr-WDFD_STD
diabetes	1	0.458	0.567	0.458	0.314	0.594	0.000	0.000	0.000	0.022	0.012	0.007	0.016	0.003	0.000	nan	nan
diabetes	2	0.439	0.522	0.424	0.277	0.582	0.187	0.000	0.000	0.028	0.015	0.012	0.031	0.012	0.048	nan	nan
diabetes	3	0.454	0.521	0.422	0.310	0.566	0.168	0.000	0.000	0.045	0.018	0.013	0.096	0.025	0.044	nan	nan
diabetes	4	0.476	0.515	0.416	0.325	0.560	0.138	0.000	0.000	0.041	0.021	0.016	0.071	0.018	0.018	nan	nan
cic_los	1	0.375	0.501	0.278	0.385	0.410	0.000	0.000	0.000	0.030	0.023	0.021	0.024	0.029	0.000	nan	nan
cic_los	2	0.302	0.515	0.288	0.330	0.350	0.720	0.000	0.000	0.021	0.026	0.017	0.024	0.040	0.160	nan	nan
cic_los	3	0.288	0.502	0.280	0.325	0.363	0.527	0.000	0.000	0.036	0.025	0.014	0.050	0.036	0.053	nan	nan
cic_los	4	0.294	0.508	0.284	0.312	0.360	0.536	0.000	0.000	0.064	0.027	0.023	0.085	0.041	0.062	nan	nan
cic	1	0.709	0.846	0.530	0.525	0.887	0.000	0.000	0.000	0.013	0.016	0.036	0.026	0.005	0.000	nan	nan
cic	2	0.624	0.730	0.334	0.401	0.788	0.302	0.000	0.000	0.033	0.046	0.059	0.065	0.044	0.152	nan	nan
cic	3	0.621	0.721	0.338	0.411	0.774	0.215	0.000	0.000	0.034	0.028	0.030	0.046	0.065	0.108	nan	nan
cic	4	0.553	0.644	0.261	0.307	0.764	0.183	0.000	0.000	0.057	0.050	0.050	0.091	0.121	0.012	nan	nan
ards24	1	0.557	0.722	0.230	0.289	0.922	0.000	0.000	0.000	0.018	0.018	0.028	0.041	0.004	0.000	nan	nan
ards24	2	0.545	0.628	0.148	0.213	0.910	0.297	0.000	0.000	0.025	0.041	0.024	0.046	0.014	0.098	nan	nan
ards24	3	0.534	0.569	0.127	0.206	0.815	0.290	0.000	0.000	0.039	0.050	0.030	0.055	0.087	0.151	nan	nan
ards24	4	0.486	0.534	0.103	0.204	0.750	0.187	0.000	0.000	0.102	0.066	0.022	0.099	0.196	0.115	nan	nan
sepsis24	1	0.563	0.812	0.266	0.303	0.939	0.000	0.000	0.000	0.018	0.018	0.023	0.031	0.003	0.000	nan	nan
sepsis24	2	0.551	0.659	0.126	0.184	0.876	0.507	0.000	0.000	0.019	0.038	0.018	0.048	0.033	0.011	nan	nan
sepsis24	3	0.491	0.577	0.090	0.190	0.765	0.396	0.000	0.000	0.036	0.042	0.011	0.081	0.110	0.149	nan	nan
sepsis24	4	0.485	0.550	0.086	0.161	0.822	0.268	0.000	0.000	0.099	0.058	0.022	0.122	0.211	0.181	nan	nan
wid_mortality	1	0.668	0.857	0.444	0.460	0.925	0.000	0.000	0.000	0.010	0.007	0.017	0.015	0.001	0.000	nan	nan
wid_mortality	2	0.561	0.720	0.263	0.366	0.785	0.279	0.000	0.000	0.092	0.096	0.096	0.087	0.173	0.199	nan	nan
wid_mortality	3	0.575	0.751	0.270	0.392	0.757	0.171	0.000	0.000	0.098	0.041	0.056	0.044	0.156	0.136	nan	nan
wid_mortality	4	0.513	0.672	0.194	0.353	0.686	0.195	0.000	0.000	0.109	0.078	0.060	0.080	0.191	0.027	nan	nan
