Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,NMI,ARI,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,NMI_STD,ARI_STD
cic_los,2,0.399,0.564,0.390,0.412,0.291,0.367,0.004,0.005,0.013,0.014,0.017,0.010,0.033,0.073,0.003
cic_los,3,0.345,0.539,0.367,0.364,0.267,0.454,0.003,0.002,0.048,0.016,0.011,0.026,0.118,0.056,0.002
cic_los,4,0.325,0.536,0.363,0.360,0.299,0.437,0.003,0.001,0.021,0.024,0.019,0.030,0.045,0.110,0.000
cic,2,0.640,0.732,0.629,0.380,0.500,0.306,0.029,0.114,0.007,0.013,0.007,0.010,0.000,0.068,0.006
cic,3,0.608,0.680,0.599,0.374,0.500,0.481,0.026,0.079,0.014,0.012,0.013,0.023,0.000,0.106,0.003
cic,4,0.553,0.587,0.554,0.248,0.500,0.567,0.014,0.040,0.055,0.100,0.053,0.129,0.000,0.128,0.010
diabetes,2,0.487,0.535,0.526,0.329,0.500,0.120,0.000,0.001,0.011,0.011,0.005,0.011,0.000,0.019,0.001
diabetes,3,0.482,0.524,0.518,0.322,0.500,0.201,0.001,-0.004,0.045,0.026,0.019,0.070,0.000,0.039,0.001
diabetes,4,0.488,0.520,0.516,0.415,0.500,0.089,0.002,-0.008,0.022,0.004,0.003,0.058,0.000,0.013,0.001
heart,2,0.467,0.506,0.556,0.407,0.500,0.155,0.266,0.330,0.073,0.047,0.064,0.117,0.000,0.004,0.068
heart,3,0.443,0.500,0.576,0.379,0.500,0.111,0.239,0.290,0.080,0.093,0.061,0.114,0.000,0.029,0.038
heart,4,0.505,0.568,0.603,0.476,0.500,0.075,0.206,0.144,0.059,0.081,0.063,0.093,0.000,0.005,0.047
sepsis,2,0.597,0.580,0.560,0.311,0.500,0.355,0.002,0.028,0.015,0.047,0.014,0.042,0.000,0.024,0.001
sepsis,3,0.532,0.550,0.557,0.245,0.500,0.375,0.003,0.024,0.085,0.028,0.012,0.015,0.000,0.120,0.002
sepsis,4,0.527,0.524,0.533,0.213,0.500,0.471,0.005,0.032,0.062,0.043,0.016,0.034,0.000,0.145,0.002
aki,2,0.511,0.547,0.548,0.469,0.500,0.262,0.000,-0.000,0.072,0.042,0.030,0.084,0.000,0.185,0.000
aki,3,0.534,0.566,0.556,0.493,0.500,0.361,0.012,0.000,0.018,0.017,0.013,0.040,0.000,0.074,0.006
aki,4,0.520,0.535,0.532,0.472,0.500,0.607,0.004,-0.000,0.031,0.031,0.027,0.067,0.000,0.022,0.001
ards,2,0.569,0.640,0.563,0.262,0.500,0.373,0.000,0.005,0.024,0.014,0.011,0.026,0.000,0.002,0.000
ards,3,0.570,0.618,0.539,0.248,0.500,0.275,0.004,0.005,0.033,0.025,0.008,0.031,0.000,0.079,0.003
ards,4,0.386,0.563,0.520,0.238,0.500,0.495,0.003,0.010,0.221,0.017,0.008,0.137,0.000,0.304,0.002
wid_mortality,2,0.546,0.738,0.614,0.390,0.500,0.371,0.002,-0.002,0.119,0.020,0.015,0.078,0.000,0.123,0.001
wid_mortality,3,0.598,0.707,0.588,0.329,0.500,0.313,0.003,0.008,0.037,0.024,0.031,0.030,0.000,0.102,0.001
wid_mortality,4,0.515,0.675,0.557,0.337,0.500,0.377,0.005,-0.008,0.061,0.039,0.011,0.054,0.000,0.102,0.002
