Dataset	k	F1	AUC	AUPRC	MINPSE	ACC	F1_STD	AUC_STD	AUPRC_STD	MINPSE_STD	E-ACC_STD	SIL	HTFD	WDFD	SIL_STD	HTFD_STD	WDFD_STD
ards	3	0.546	0.744	0.613	0.201	0.500	0.049	0.015	0.006	0.143	0.000	0.545	1.400	1.440	0.347	0.034	0.355
ards	3	0.620	0.790	0.643	0.349	0.500	0.016	0.012	0.011	0.013	0.000	0.141	0.949	0.628	0.154	0.672	0.446
ards	3	0.577	0.754	0.621	0.316	0.500	0.035	0.020	0.007	0.025	0.000	0.526	1.404	1.397	0.312	0.007	0.302
ards	3	0.610	0.793	0.642	0.345	0.500	0.005	0.004	0.002	0.011	0.000	0.071	0.777	1.075	0.016	0.575	0.762
ards	3	0.576	0.787	0.641	0.306	0.500	0.009	0.011	0.011	0.013	0.000	0.271	0.457	0.569	0.067	0.647	0.805
ards	3	0.575	0.777	0.631	0.347	0.500	0.060	0.008	0.005	0.028	0.000	0.211	0.889	0.980	0.160	0.629	0.733
ards	3	0.613	0.788	0.637	0.333	0.500	0.013	0.005	0.003	0.013	0.000	0.378	1.279	1.586	0.148	0.096	0.186
ards	3	0.617	0.767	0.631	0.323	0.500	0.011	0.025	0.018	0.005	0.000	0.580	1.240	2.057	0.057	0.079	0.734
ards	3	0.617	0.764	0.630	0.343	0.500	0.004	0.021	0.006	0.014	0.000	0.616	1.381	1.655	0.015	0.006	0.017
ards	3	0.594	0.755	0.617	0.302	0.500	0.033	0.013	0.007	0.033	0.000	0.593	1.335	1.634	0.155	0.074	0.118
ards	3	0.592	0.768	0.632	0.311	0.500	0.002	0.002	0.005	0.015	0.000	0.767	1.404	1.571	0.076	0.007	0.069
ards	3	0.555	0.775	0.631	0.304	0.500	0.026	0.008	0.002	0.023	0.000	0.603	1.411	1.267	0.319	0.041	0.148
