Dataset,k,F1,AUC,AUPRC,MINPSE,SIL,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,SIL_STD
aki_new,2,0.458,0.559,0.550,0.000,0.000,0.101,0.022,0.022,0.000,0.000
aki_new,3,0.461,0.561,0.550,0.000,0.198,0.084,0.025,0.018,0.000,0.162
aki_new,4,0.457,0.538,0.539,0.000,0.211,0.064,0.026,0.026,0.000,0.122
aki_new,5,0.519,0.544,0.540,0.000,0.178,0.035,0.014,0.010,0.000,0.075
aki_new,6,0.451,0.558,0.553,0.000,0.212,0.055,0.020,0.013,0.000,0.065
aki_new,7,0.431,0.535,0.534,0.000,0.125,0.074,0.017,0.011,0.000,0.077
aki_new,8,0.430,0.534,0.535,0.000,0.182,0.038,0.020,0.014,0.000,0.029
aki_new,10,0.474,0.531,0.524,0.000,0.159,0.051,0.023,0.014,0.000,0.075

ards_new,2,0.449,0.618,0.584,0.000,0.090,0.191,0.121,0.052,0.000,0.180
ards_new,3,0.527,0.592,0.573,0.000,0.343,0.075,0.175,0.080,0.000,0.095
ards_new,4,0.465,0.703,0.625,0.000,0.383,0.183,0.110,0.068,0.000,0.077
ards_new,5,0.582,0.797,0.674,0.000,0.436,0.076,0.027,0.020,0.000,0.029
ards_new,6,0.519,0.671,0.594,0.000,0.338,0.065,0.097,0.040,0.000,0.139
ards_new,7,0.502,0.592,0.554,0.000,0.350,0.077,0.119,0.052,0.000,0.094
ards_new,8,0.544,0.602,0.575,0.000,0.282,0.126,0.153,0.075,0.000,0.085
ards_new,10,0.532,0.686,0.587,0.000,0.276,0.060,0.079,0.060,0.000,0.147

cic_new,2,0.514,0.649,0.575,0.000,0.000,0.054,0.065,0.033,0.000,0.000
cic_new,3,0.505,0.651,0.583,0.000,0.088,0.048,0.076,0.043,0.000,0.110
cic_new,4,0.471,0.703,0.608,0.000,0.132,0.108,0.015,0.006,0.000,0.162
cic_new,5,0.520,0.666,0.584,0.000,0.046,0.068,0.042,0.022,0.000,0.062
cic_new,6,0.463,0.647,0.575,0.000,0.112,0.008,0.075,0.040,0.000,0.069
cic_new,7,0.537,0.665,0.582,0.000,0.054,0.054,0.058,0.027,0.000,0.041
cic_new,8,0.513,0.649,0.578,0.000,0.061,0.031,0.051,0.026,0.000,0.056
cic_new,10,0.453,0.616,0.558,0.000,0.055,0.041,0.048,0.024,0.000,0.043

cic_los_new,2,0.207,0.557,0.381,0.000,0.000,0.030,0.015,0.013,0.000,0.000
cic_los_new,3,0.288,0.571,0.395,0.000,0.044,0.056,0.020,0.012,0.000,0.088
cic_los_new,4,0.320,0.550,0.378,0.000,0.071,0.047,0.017,0.015,0.000,0.053
cic_los_new,5,0.269,0.538,0.368,0.000,0.100,0.063,0.025,0.019,0.000,0.035
cic_los_new,6,0.263,0.542,0.370,0.000,0.079,0.054,0.025,0.019,0.000,0.050
cic_los_new,7,0.332,0.548,0.374,0.000,0.057,0.032,0.017,0.011,0.000,0.037
cic_los_new,8,0.329,0.540,0.372,0.000,0.039,0.067,0.040,0.029,0.000,0.021
cic_los_new,10,0.347,0.547,0.375,0.000,0.038,0.040,0.025,0.016,0.000,0.020
