Dataset,k,F1,AUC,AUPRC,MIN-PSE,SIL,F1_STD,AUC_STD,AUPRC_STD,MIN-PSE_STD,SIL_STD
aki_new,2,0.625,0.643,0.614,0.000,0.525,0.060,0.053,0.041,0.000,0.074
aki_new,3,0.602,0.630,0.612,0.000,0.214,0.027,0.030,0.025,0.000,0.056
aki_new,4,0.613,0.641,0.619,0.000,0.209,0.020,0.028,0.027,0.000,0.047
aki_new,5,0.637,0.666,0.629,0.000,0.159,0.039,0.044,0.039,0.000,0.018
aki_new,6,0.639,0.672,0.642,0.000,0.151,0.047,0.056,0.049,0.000,0.011
aki_new,7,0.606,0.627,0.621,0.000,0.126,0.028,0.036,0.030,0.000,0.013
aki_new,8,0.616,0.639,0.611,0.000,0.144,0.022,0.027,0.025,0.000,0.009
aki_new,10,0.602,0.629,0.620,0.000,0.106,0.018,0.022,0.026,0.000,0.012
ards_new,2,0.463,0.586,0.691,0.000,0.401,0.003,0.013,0.013,0.000,0.031
ards_new,3,0.662,0.733,0.716,0.000,0.506,0.136,0.113,0.031,0.000,0.009
ards_new,4,0.463,0.421,0.495,0.000,0.469,0.003,0.022,0.010,0.000,0.014
ards_new,5,0.463,0.409,0.491,0.000,0.397,0.003,0.010,0.006,0.000,0.065
ards_new,6,0.463,0.437,0.498,0.000,0.315,0.003,0.020,0.009,0.000,0.033
ards_new,7,0.484,0.619,0.567,0.000,0.306,0.017,0.087,0.032,0.000,0.027
ards_new,8,0.463,0.429,0.497,0.000,0.275,0.003,0.015,0.013,0.000,0.028
ards_new,10,0.463,0.516,0.533,0.000,0.227,0.003,0.010,0.015,0.000,0.047
cic_new,2,0.715,0.793,0.728,0.000,0.366,0.028,0.015,0.025,0.000,0.003
cic_new,3,0.713,0.792,0.727,0.000,0.309,0.042,0.018,0.035,0.000,0.001
cic_new,4,0.735,0.792,0.736,0.000,0.290,0.040,0.018,0.030,0.000,0.003
cic_new,5,0.555,0.617,0.590,0.000,0.165,0.115,0.157,0.114,0.000,0.069
cic_new,6,0.604,0.631,0.624,0.000,0.120,0.119,0.143,0.113,0.000,0.015
cic_new,7,0.462,0.484,0.497,0.000,0.105,0.001,0.014,0.004,0.000,0.003
cic_new,8,0.462,0.482,0.498,0.000,0.112,0.001,0.008,0.002,0.000,0.017
cic_new,10,0.657,0.718,0.687,0.000,0.125,0.100,0.147,0.102,0.000,0.019
cic_los_new,2,0.445,0.631,0.459,0.000,0.343,0.018,0.013,0.012,0.000,0.058
cic_los_new,3,0.443,0.628,0.456,0.000,0.212,0.021,0.018,0.019,0.000,0.017
cic_los_new,4,0.455,0.630,0.457,0.000,0.179,0.022,0.021,0.024,0.000,0.015
cic_los_new,5,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0
cic_los_new,6,0.441,0.630,0.457,0.000,0.13,0.030,0.019,0.023,0.000,0.007
cic_los_new,7,0.421,0.620,0.446,0.000,0.115,0.007,0.010,0.014,0.000,0.012
cic_los_new,8,0.448,0.627,0.453,0.000,0.109,0.022,0.019,0.019,0.000,0.002
cic_los_new,10,0.435,0.624,0.452,0.000,0.103,0.025,0.022,0.025,0.000,0.005
