Dataset,k,F1,AUC,AUPRC,MINPSE,SIL,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,SIL_STD
aki_new,2,0.576,0.593,0.593,0.557,0.463,0.017,0.022,0.012,0.023,0.080
aki_new,3,0.547,0.552,0.551,0.498,0.395,0.017,0.030,0.031,0.021,0.070
aki_new,4,0.535,0.557,0.556,0.482,0.337,0.047,0.035,0.029,0.068,0.068
aki_new,5,0.572,0.587,0.573,0.536,0.228,0.012,0.021,0.019,0.026,0.067
aki_new,6,0.564,0.573,0.574,0.526,0.281,0.016,0.029,0.022,0.031,0.104
aki_new,7,0.540,0.577,0.568,0.493,0.288,0.025,0.037,0.039,0.035,0.077
aki_new,8,0.566,0.575,0.573,0.534,0.228,0.019,0.029,0.023,0.016,0.069
aki_new,10,0.523,0.542,0.542,0.471,0.217,0.039,0.027,0.027,0.054,0.084

ards_new,2,0.405,0.589,0.565,0.303,0.624,0.215,0.201,0.112,0.100,0.093
ards_new,3,0.390,0.530,0.529,0.083,0.540,0.095,0.119,0.041,0.107,0.169
ards_new,4,0.503,0.697,0.618,0.083,0.535,0.081,0.141,0.095,0.165,0.090
ards_new,5,0.474,0.515,0.542,0.054,0.522,0.019,0.143,0.064,0.066,0.074
ards_new,6,0.493,0.562,0.539,0.065,0.496,0.062,0.100,0.032,0.130,0.064
ards_new,7,0.410,0.451,0.510,0.039,0.543,0.104,0.196,0.081,0.062,0.035
ards_new,8,0.514,0.506,0.508,0.161,0.441,0.045,0.111,0.043,0.137,0.104
ards_new,10,0.470,0.488,0.515,0.279,0.432,0.088,0.110,0.033,0.162,0.118

cic_new,2,0.478,0.537,0.519,0.057,0.467,0.032,0.055,0.028,0.114,0.063
cic_new,3,0.458,0.568,0.548,0.168,0.326,0.033,0.134,0.067,0.192,0.127
cic_new,4,0.466,0.655,0.583,0.182,0.253,0.004,0.066,0.035,0.225,0.083
cic_new,5,0.478,0.560,0.535,0.189,0.258,0.028,0.077,0.047,0.175,0.129
cic_new,6,0.473,0.525,0.520,0.052,0.285,0.023,0.096,0.048,0.105,0.118
cic_new,7,0.462,0.553,0.527,0.000,0.255,0.001,0.042,0.013,0.000,0.106
cic_new,8,0.443,0.460,0.497,0.133,0.297,0.039,0.117,0.047,0.195,0.123
cic_new,10,0.462,0.573,0.538,0.000,0.134,0.001,0.137,0.055,0.000,0.077

cic_los_new,2,0.335,0.600,0.419,0.334,0.428,0.063,0.035,0.033,0.099,0.046
cic_los_new,3,0.366,0.600,0.419,0.410,0.333,0.022,0.028,0.028,0.032,0.097
cic_los_new,4,0.364,0.607,0.429,0.405,0.214,0.019,0.017,0.015,0.085,0.077
cic_los_new,5,0.334,0.586,0.412,0.318,0.286,0.045,0.030,0.026,0.094,0.091
cic_los_new,6,0.321,0.593,0.416,0.340,0.183,0.078,0.025,0.026,0.132,0.099
cic_los_new,7,0.339,0.575,0.396,0.307,0.223,0.038,0.033,0.030,0.059,0.067
cic_los_new,8,0.352,0.612,0.431,0.397,0.160,0.052,0.024,0.020,0.104,0.077
cic_los_new,10,0.349,0.579,0.402,0.362,0.128,0.032,0.043,0.037,0.084,0.076
