Dataset,k,F1,AUC,AUPRC,MINPSE,SIL,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,SIL_STD
aki_new,2,0.483,0.518,0.524,0.406,0.490,0.034,0.017,0.017,0.075,0.119
aki_new,3,0.428,0.530,0.525,0.381,0.293,0.054,0.031,0.025,0.078,0.018
aki_new,4,0.436,0.529,0.523,0.341,0.251,0.059,0.028,0.021,0.074,0.042
aki_new,5,0.462,0.509,0.511,0.457,0.211,0.072,0.036,0.025,0.053,0.052
aki_new,6,0.431,0.493,0.498,0.304,0.189,0.066,0.016,0.014,0.171,0.031
aki_new,7,0.469,0.500,0.506,0.380,0.171,0.018,0.028,0.018,0.034,0.014
aki_new,8,0.453,0.505,0.509,0.342,0.138,0.073,0.050,0.037,0.182,0.042
aki_new,10,0.405,0.480,0.488,0.334,0.110,0.060,0.026,0.017,0.176,0.017

ards_new,2,0.457,0.691,0.619,0.387,0.560,0.181,0.087,0.054,0.142,0.056
ards_new,3,0.518,0.649,0.571,0.362,0.541,0.024,0.095,0.040,0.169,0.133
ards_new,4,0.500,0.567,0.548,0.280,0.440,0.081,0.099,0.048,0.105,0.015
ards_new,5,0.441,0.511,0.538,0.397,0.403,0.137,0.105,0.041,0.087,0.043
ards_new,6,0.407,0.531,0.531,0.245,0.345,0.156,0.101,0.052,0.089,0.032
ards_new,7,0.415,0.524,0.543,0.323,0.330,0.169,0.099,0.055,0.062,0.047
ards_new,8,0.478,0.536,0.539,0.311,0.336,0.092,0.158,0.061,0.166,0.028
ards_new,10,0.429,0.554,0.552,0.220,0.277,0.159,0.127,0.053,0.113,0.029

cic_new,2,0.567,0.640,0.580,0.272,0.399,0.029,0.026,0.013,0.044,0.009
cic_new,3,0.543,0.571,0.538,0.243,0.224,0.019,0.019,0.013,0.044,0.043
cic_new,4,0.552,0.581,0.550,0.249,0.131,0.027,0.030,0.016,0.034,0.028
cic_new,5,0.427,0.582,0.546,0.331,0.129,0.158,0.030,0.014,0.107,0.042
cic_new,6,0.314,0.550,0.529,0.288,0.143,0.151,0.071,0.033,0.165,0.029
cic_new,7,0.464,0.491,0.503,0.246,0.124,0.039,0.069,0.027,0.145,0.040
cic_new,8,0.423,0.501,0.513,0.163,0.094,0.151,0.095,0.044,0.138,0.024
cic_new,10,0.402,0.554,0.531,0.206,0.058,0.129,0.093,0.038,0.191,0.010

cic_los_new,2,0.377,0.572,0.394,0.398,0.336,0.026,0.013,0.012,0.017,0.046
cic_los_new,3,0.301,0.524,0.355,0.338,0.181,0.042,0.029,0.018,0.069,0.026
cic_los_new,4,0.297,0.520,0.351,0.326,0.117,0.054,0.042,0.029,0.068,0.027
cic_los_new,5,0.247,0.500,0.336,0.261,0.107,0.060,0.033,0.022,0.092,0.032
cic_los_new,6,0.240,0.499,0.334,0.232,0.106,0.059,0.018,0.012,0.130,0.040
cic_los_new,7,0.227,0.494,0.332,0.223,0.102,0.034,0.041,0.029,0.112,0.023
cic_los_new,8,0.258,0.490,0.326,0.271,0.082,0.022,0.014,0.009,0.039,0.019
cic_los_new,10,0.225,0.490,0.329,0.235,0.062,0.042,0.028,0.017,0.061,0.009
