Dataset,k,F1,AUC,AUPRC,MIN-PSE,SIL,F1_STD,AUC_STD,AUPRC_STD,MIN-PSE_STD,SIL_STD
ards_new,2,0.0,0.0,0.0,0.000,0.0,0,0,0,0,0
ards_new,3,0.710,0.826,0.677,0.000,0.240,0,0,0,0,0
ards_new,4,0.741,0.892,0.741,0.000,0.167,0,0,0,0,0
ards_new,5,0.644,0.899,0.743,0.000,0.207,0,0,0,0,0
ards_new,6,0.694,0.764,0.671,0.000,0.183,0,0,0,0,0
ards_new,7,0.701,0.899,0.750,0.000,0.207,0,0,0,0,0
ards_new,8,0.732,0.825,0.709,0.000,0.166,0,0,0,0,0
ards_new,10,0.712,0.855,0.728,0.000,0.193,0,0,0,0,0

aki_new,2,0.0,0.0,0.0,0.000,0.0,0,0,0,0,0
aki_new,3,0.0,0.0,0.0,0.000,0.0,0,0,0,0,0
aki_new,4,0.582,0.594,0.560,0.000,0.000,0,0,0,0,0
aki_new,5,0.580,0.616,0.576,0.000,0.051,0,0,0,0,0
aki_new,6,0.584,0.590,0.556,0.000,-0.095,0,0,0,0,0
aki_new,7,0.578,0.579,0.546,0.000,0.082,0,0,0,0,0
aki_new,8,0.573,0.595,0.568,0.000,-0.025,0,0,0,0,0
aki_new,10,0.573,0.605,0.572,0.000,0.019,0,0,0,0,0

cic_new,2,0.0,0.0,0.0,0.000,0.0,0,0,0,0,0
cic_new,3,0.646,0.749,0.633,0.000,0.063,0,0,0,0,0
cic_new,4,0.644,0.736,0.634,0.000,0.026,0,0,0,0,0
cic_new,5,0.669,0.755,0.643,0.000,0.034,0,0,0,0,0
cic_new,6,0.622,0.746,0.647,0.000,0.048,0,0,0,0,0
cic_new,7,0.556,0.701,0.616,0.000,0.024,0,0,0,0,0
cic_new,8,0.683,0.753,0.638,0.000,0.002,0,0,0,0,0
cic_new,10,0.634,0.646,0.586,0.000,-0.003,0,0,0,0,0

cic_los_new,2,0.0,0.0,0.0,0.000,0.0,0,0,0,0,0
cic_los_new,3,0.337,0.617,0.412,0.000,0.126,0,0,0,0,0
cic_los_new,4,0.334,0.605,0.404,0.000,0.064,0,0,0,0,0
cic_los_new,5,0.174,0.623,0.421,0.000,0.033,0,0,0,0,0
cic_los_new,6,0.345,0.616,0.411,0.000,0.135,0,0,0,0,0
cic_los_new,7,0.309,0.622,0.419,0.000,0.063,0,0,0,0,0
cic_los_new,8,0.182,0.612,0.409,0.000,0.028,0,0,0,0,0
cic_los_new,10,0.352,0.623,0.417,0.000,0.037,0,0,0,0,0
