Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,WDFD,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,ACC_STD,SIL_STD,HTFD_STD,WDFD_STD

aki48,1,0.590,0.659,0.643,0.000,0.615,0.000,1.802,0.000,0.036,0.024,0.026,0,0.014,0.000,0.000,0.000
aki48,2,0.443,0.599,0.588,0.000,0.553,0.412,1.496,2.272,0.047,0.034,0.037,0,0.049,0.065,0.046,0.788
aki48,3,0.475,0.606,0.598,0.000,0.572,0.407,0.914,1.233,0.082,0.044,0.040,0,0.040,0.071,0.747,1.071
aki48,4,0.461,0.576,0.565,0.000,0.569,0.414,0.246,0.417,0.088,0.069,0.052,0,0.023,0.039,0.492,0.834
aki48,5,0.466,0.611,0.588,0.000,0.566,0.421,0.292,0.533,0.067,0.035,0.036,0,0.023,0.034,0.584,1.066
aki48,6,0.467,0.577,0.590,0.000,0.574,0.408,0.000,0.000,0.076,0.050,0.042,0,0.015,0.043,0.000,0.000
aki48,7,0.535,0.619,0.603,0.000,0.567,0.310,0.000,0.000,0.074,0.020,0.019,0,0.056,0.113,0.000,0.000
aki48,8,0.548,0.627,0.620,0.000,0.588,0.241,0.533,0.837,0.048,0.019,0.024,0,0.024,0.106,0.660,1.091
aki48,10,0.528,0.559,0.562,0.000,0.577,0.247,0.000,0.000,0.091,0.062,0.048,0,0.046,0.060,0.000,0.000

ards48,1,0.846,0.888,0.862,0.000,0.915,0.000,1.802,0.000,0.011,0.021,0.018,0,0.007,0.000,0.000,0.000
ards48,2,0.592,0.850,0.798,0.000,0.703,0.081,0.995,0.159,0.197,0.076,0.072,0,0.226,0.161,0.827,0.318
ards48,3,0.721,0.850,0.781,0.000,0.855,0.272,1.440,0.550,0.091,0.030,0.015,0,0.012,0.142,0.181,0.280
ards48,4,0.532,0.799,0.713,0.000,0.749,0.266,0.000,0.000,0.150,0.063,0.096,0,0.209,0.071,0.000,0.000
ards48,5,0.607,0.607,0.639,0.000,0.842,0.114,0.360,0.000,0.122,0.198,0.125,0,0.019,0.088,0.721,0.000
ards48,6,0.680,0.754,0.739,0.000,0.865,0.122,0.214,0.122,0.133,0.202,0.151,0,0.029,0.076,0.428,0.244
ards48,7,0.587,0.727,0.685,0.000,0.709,0.114,0.000,0.000,0.115,0.221,0.130,0,0.146,0.039,0.000,0.000
ards48,8,0.501,0.532,0.605,0.000,0.746,0.079,0.000,0.000,0.170,0.210,0.163,0,0.220,0.040,0.000,0.000
ards48,10,0.582,0.724,0.685,0.000,0.850,0.123,0.360,0.000,0.158,0.101,0.068,0,0.027,0.072,0.721,0.000

sepsis48,1,0.483,0.723,0.594,0.000,0.868,0.000,1.802,0.000,0.026,0.017,0.004,0,0.010,0.000,0.000,0.000
sepsis48,2,0.479,0.667,0.574,0.000,0.871,0.078,0.919,0.562,0.025,0.061,0.024,0,0.007,0.096,0.765,0.689
sepsis48,3,0.487,0.663,0.570,0.000,0.864,0.189,0.560,0.558,0.017,0.028,0.011,0,0.010,0.011,0.686,0.684
sepsis48,4,0.484,0.572,0.536,0.000,0.863,0.172,0.275,0.281,0.034,0.057,0.019,0,0.018,0.026,0.551,0.561
sepsis48,5,0.476,0.615,0.556,0.000,0.863,0.166,0.290,0.242,0.017,0.056,0.019,0,0.020,0.016,0.581,0.483
sepsis48,6,0.495,0.624,0.564,0.000,0.854,0.151,0.000,0.000,0.031,0.053,0.020,0,0.029,0.022,0.000,0.000
sepsis48,7,0.491,0.613,0.557,0.000,0.866,0.166,0.000,0.000,0.047,0.055,0.023,0,0.015,0.022,0.000,0.000
sepsis48,8,0.474,0.636,0.571,0.000,0.868,0.118,0.288,0.246,0.014,0.055,0.022,0,0.009,0.027,0.575,0.492
sepsis48,10,0.488,0.620,0.561,0.000,0.861,0.150,0.000,0.000,0.042,0.066,0.033,0,0.015,0.025,0.000,0.000

