Dataset,k,F1,AUC,AUPRC,MINPSE,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,SIL,SIL_STD
aki_new,1,0.582,0.605,0.589,0.563,0.008,0.007,0.015,0.017,0.000,0.000
aki_new,2,0.576,0.604,0.591,0.541,0.010,0.012,0.010,0.022,0.452,0.049
aki_new,3,0.578,0.609,0.600,0.546,0.011,0.013,0.017,0.014,0.418,0.020
aki_new,4,0.585,0.609,0.601,0.561,0.014,0.007,0.005,0.012,0.354,0.047
aki_new,5,0.582,0.614,0.606,0.544,0.003,0.010,0.013,0.007,0.370,0.039
aki_new,6,0.585,0.615,0.605,0.557,0.006,0.011,0.016,0.009,0.340,0.065
aki_new,7,0.586,0.611,0.605,0.557,0.013,0.015,0.013,0.034,0.280,0.042
aki_new,8,0.590,0.614,0.602,0.562,0.003,0.008,0.013,0.014,0.306,0.030
aki_new,10,0.585,0.617,0.611,0.549,0.008,0.009,0.014,0.022,0.256,0.045

ards_new,1,0.751,0.916,0.780,0,0.008,0.005,0.027,0.011,0.000,0.000
ards_new,2,0.736,0.913,0.786,0,0.019,0.003,0.018,0.039,0.440,0.167
ards_new,3,0.697,0.909,0.773,0,0.068,0.009,0.032,0.057,0.589,0.048
ards_new,4,0.699,0.905,0.776,0,0.091,0.016,0.023,0.067,0.552,0.053
ards_new,5,0.738,0.895,0.774,0,0.017,0.026,0.010,0.028,0.422,0.061
ards_new,6,0.750,0.907,0.790,0,0.016,0.009,0.010,0.028,0.483,0.159
ards_new,7,0.741,0.912,0.791,0,0.021,0.006,0.018,0.039,0.444,0.053
ards_new,8,0.740,0.913,0.783,0,0.024,0.014,0.023,0.047,0.480,0.075
ards_new,10,0.731,0.908,0.778,0,0.011,0.013,0.016,0.018,0.418,0.223

cic_new,1,0.670,0.827,0.718,0.446,0.014,0.011,0.014,0.027,0.000,0.000
cic_new,2,0.678,0.824,0.714,0.449,0.016,0.015,0.016,0.028,0.330,0.322
cic_new,3,0.677,0.825,0.716,0.453,0.010,0.013,0.016,0.024,0.126,0.155
cic_new,4,0.680,0.792,0.705,0.449,0.007,0.044,0.013,0.012,0.265,0.241
cic_new,5,0.671,0.821,0.712,0.447,0.017,0.011,0.012,0.015,0.102,0.126
cic_new,6,0.674,0.821,0.713,0.447,0.015,0.012,0.015,0.019,0.197,0.301
cic_new,7,0.678,0.826,0.716,0.449,0.009,0.010,0.010,0.013,0.034,0.068
cic_new,8,0.670,0.825,0.716,0.437,0.011,0.006,0.005,0.011,0.202,0.195
cic_new,10,0.667,0.822,0.714,0.438,0.017,0.014,0.012,0.018,0.037,0.046

cic_los_new,1,0.414,0.637,0.458,0,0.017,0.008,0.009,0.014,0.000,0.000
cic_los_new,2,0.414,0.641,0.467,0,0.020,0.006,0.005,0.005,0.077,0.153
cic_los_new,3,0.425,0.643,0.467,0,0.025,0.008,0.007,0.050,0.165,0.141
cic_los_new,4,0.418,0.638,0.461,0,0.014,0.008,0.008,0.014,0.241,0.127
cic_los_new,5,0.410,0.642,0.462,0,0.021,0.006,0.007,0.024,0.181,0.181
cic_los_new,6,0.413,0.643,0.468,0,0.014,0.007,0.010,0.010,0.164,0.084
cic_los_new,7,0.418,0.645,0.469,0,0.014,0.007,0.008,0.011,0.405,0.293
cic_los_new,8,0.425,0.642,0.465,0,0.018,0.010,0.010,0.011,0.243,0.234
cic_los_new,10,0.416,0.647,0.472,0,0.010,0.008,0.007,0.013,0.270,0.223
