Dataset,k,F1,AUC,AUPRC,MINPSE,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,SIL,HTFD,WDFD,SIL_STD,HTFD_STD,WDFD_STD
aki48,1,0.647,0.691,0.682,0.581,0.020,0.045,0.055,0.016,0.000,1.802,0.000,0.000,0.000,0.000
aki48,2,0.640,0.705,0.698,0.569,0.023,0.024,0.028,0.042,0.560,1.467,1.884,0.082,0.030,0.776
aki48,3,0.638,0.706,0.695,0.560,0.017,0.017,0.022,0.024,0.588,1.450,2.029,0.039,0.106,0.093
aki48,4,0.634,0.708,0.703,0.557,0.015,0.021,0.021,0.018,0.513,1.459,1.698,0.038,0.008,0.145
aki48,5,0.645,0.703,0.696,0.575,0.012,0.018,0.020,0.013,0.538,0.743,1.247,0.064,0.622,1.108
aki48,6,0.643,0.713,0.708,0.569,0.027,0.017,0.017,0.040,0.452,1.008,1.055,0.037,0.512,0.536
aki48,7,0.642,0.701,0.697,0.571,0.014,0.032,0.027,0.016,0.477,0.881,1.485,0.052,0.446,0.761
aki48,8,0.646,0.709,0.704,0.580,0.012,0.015,0.013,0.020,0.433,0.817,1.315,0.075,0.412,0.732
aki48,10,0.648,0.703,0.700,0.580,0.011,0.024,0.023,0.014,0.369,0.628,0.954,0.043,0.514,0.792

ards48,1,0.889,0.928,0.910,0.816,0.012,0.015,0.014,0.020,0.000,1.802,0.000,0.000,0.000,0.000
ards48,2,0.895,0.931,0.916,0.825,0.008,0.011,0.012,0.012,0.448,0.916,1.364,0.370,0.673,1.581
ards48,3,0.892,0.934,0.918,0.820,0.009,0.008,0.008,0.014,0.530,0.861,1.316,0.299,0.661,1.603
ards48,4,0.892,0.935,0.918,0.820,0.010,0.010,0.012,0.016,0.405,0.923,0.202,0.336,0.807,0.405
ards48,5,0.893,0.933,0.918,0.822,0.011,0.012,0.011,0.018,0.358,0.360,0.000,0.322,0.721,0.000
ards48,6,0.893,0.933,0.917,0.822,0.008,0.010,0.013,0.014,0.536,0.600,1.634,0.191,0.310,0.935
ards48,7,0.894,0.937,0.920,0.824,0.008,0.010,0.008,0.013,0.581,0.155,0.515,0.184,0.310,1.030
ards48,8,0.895,0.936,0.921,0.825,0.009,0.012,0.011,0.014,0.318,0.000,0.000,0.349,0.000,0.000
ards48,10,0.893,0.932,0.918,0.822,0.007,0.011,0.011,0.013,0.318,0.360,0.000,0.282,0.721,0.000

sepsis48,1,0.594,0.779,0.645,0.308,0.039,0.022,0.013,0.057,0.000,1.802,0.000,0.000,0.000,0.000
sepsis48,2,0.553,0.785,0.647,0.277,0.045,0.013,0.010,0.044,0.282,1.069,0.640,0.155,0.546,0.439
sepsis48,3,0.526,0.781,0.649,0.172,0.052,0.026,0.007,0.141,0.275,0.970,0.519,0.071,0.489,0.270
sepsis48,4,0.558,0.781,0.648,0.252,0.063,0.010,0.011,0.128,0.180,0.821,0.681,0.106,0.674,0.561
sepsis48,5,0.550,0.785,0.650,0.289,0.060,0.011,0.007,0.068,0.273,0.910,1.549,0.065,0.479,1.212
sepsis48,6,0.530,0.790,0.652,0.309,0.066,0.013,0.007,0.138,0.147,0.633,0.958,0.135,0.530,0.960
sepsis48,7,0.492,0.783,0.648,0.169,0.031,0.011,0.010,0.146,0.136,0.641,0.938,0.085,0.529,0.774
sepsis48,8,0.526,0.779,0.642,0.182,0.065,0.022,0.012,0.150,0.224,0.666,0.756,0.062,0.549,0.636
sepsis48,10,0.553,0.780,0.647,0.266,0.065,0.014,0.010,0.085,0.280,0.000,0.000,0.228,0.000,0.000

cic,1,0.656,0.772,0.702,0.402,0.098,0.140,0.105,0.202,0.000,1.802,0.000,0.000,0.000,0.000
cic,2,0.709,0.856,0.757,0.504,0.007,0.017,0.016,0.017,0.412,1.115,1.213,0.280,0.511,1.589
cic,3,0.713,0.856,0.754,0.507,0.010,0.011,0.019,0.015,0.133,0.827,0.215,0.164,0.714,0.263
cic,4,0.714,0.857,0.760,0.514,0.010,0.011,0.019,0.019,0.149,0.565,0.236,0.190,0.734,0.472
cic,5,0.712,0.856,0.757,0.505,0.013,0.016,0.021,0.025,0.161,0.895,0.726,0.095,0.570,0.662
cic,6,0.708,0.857,0.759,0.499,0.015,0.013,0.019,0.029,0.379,0.360,0.000,0.215,0.721,0.000
cic,7,0.696,0.851,0.759,0.497,0.019,0.015,0.017,0.031,0.079,0.150,0.397,0.098,0.301,0.794
cic,8,0.694,0.851,0.757,0.481,0.028,0.017,0.024,0.045,0.382,0.000,0.000,0.296,0.000,0.000
cic,10,0.706,0.854,0.755,0.509,0.020,0.008,0.017,0.030,0.213,0.163,0.210,0.271,0.325,0.420

ards24,2,0.551,0.791,0.642,0.196,0.059,0.005,0.012,0.161,0.416,1.185,0.835,0.064,0.074,0.078
ards24,3,0.620,0.778,0.633,0.335,0.032,0.018,0.008,0.024,0.313,1.077,0.996,0.066,0.125,0.192
ards24,4,0.593,0.797,0.642,0.312,0.019,0.010,0.010,0.010,0.244,1.017,2.106,0.068,0.190,1.587
ards24,5,0.593,0.793,0.643,0.267,0.058,0.007,0.007,0.135,0.161,0.832,0.985,0.043,0.420,0.570

sepsis24,2,0.673,0.844,0.683,0.425,0.035,0.016,0.012,0.028,0.492,1.525,1.411,0.084,0.063,0.243
sepsis24,3,0.666,0.823,0.672,0.405,0.020,0.032,0.025,0.027,0.368,1.415,1.450,0.160,0.157,0.134
sepsis24,4,0.669,0.838,0.676,0.423,0.037,0.018,0.015,0.032,0.360,1.462,1.554,0.029,0.064,0.163
sepsis24,5,0.661,0.825,0.676,0.410,0.024,0.024,0.017,0.028,0.405,1.457,1.520,0.048,0.004,0.102
