Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,WDFD,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,ACC_STD,SIL_STD,HTFD_STD,WDFD_STD
aki48,1,0.632,0.669,0.670,0.562,0.500,0.000,1.802,0.000,0.013,0.079,0.061,0.020,0.000,0.000,0.000,0.000
aki48,2,0.624,0.677,0.666,0.551,0.500,0.571,1.496,1.606,0.017,0.027,0.031,0.032,0.000,0.079,0.018,0.857
aki48,3,0.615,0.677,0.674,0.527,0.500,0.593,1.511,1.986,0.019,0.012,0.019,0.020,0.000,0.046,0.028,0.038
aki48,4,0.604,0.653,0.647,0.526,0.500,0.530,1.421,1.691,0.023,0.035,0.036,0.022,0.000,0.051,0.077,0.156
aki48,5,0.600,0.633,0.622,0.535,0.500,0.515,1.366,1.604,0.029,0.046,0.049,0.029,0.000,0.060,0.067,0.135
aki48,6,0.616,0.683,0.673,0.527,0.500,0.448,1.216,1.902,0.012,0.015,0.014,0.019,0.000,0.089,0.044,0.200
aki48,7,0.591,0.637,0.626,0.518,0.500,0.491,1.130,1.813,0.034,0.068,0.059,0.029,0.000,0.073,0.132,0.375
aki48,8,0.593,0.653,0.641,0.502,0.500,0.455,0.862,1.532,0.034,0.042,0.049,0.053,0.000,0.100,0.437,0.789
aki48,10,0.594,0.647,0.638,0.526,0.500,0.418,0.786,1.387,0.046,0.042,0.041,0.032,0.000,0.112,0.396,0.698

ards48,1,0.877,0.904,0.876,0.796,0.500,0.000,1.802,0.000,0.006,0.024,0.037,0.011,0.000,0.000,0.000,0.000
ards48,2,0.781,0.813,0.804,0.714,0.500,0.570,1.327,0.807,0.148,0.049,0.054,0.101,0.000,0.066,0.026,0.119
ards48,3,0.819,0.872,0.845,0.723,0.500,0.454,1.155,0.865,0.047,0.039,0.034,0.056,0.000,0.086,0.048,0.249
ards48,4,0.655,0.794,0.779,0.576,0.500,0.403,1.020,0.870,0.106,0.068,0.073,0.072,0.000,0.042,0.022,0.215
ards48,5,0.779,0.854,0.834,0.674,0.500,0.402,0.912,1.118,0.081,0.046,0.038,0.082,0.000,0.081,0.056,0.667
ards48,6,0.805,0.875,0.851,0.715,0.500,0.276,0.830,1.527,0.090,0.042,0.039,0.086,0.000,0.104,0.036,0.636
ards48,7,0.733,0.862,0.838,0.641,0.500,0.288,0.605,1.694,0.117,0.046,0.034,0.105,0.000,0.083,0.304,1.037
ards48,8,0.737,0.824,0.801,0.653,0.500,0.283,0.295,0.607,0.136,0.123,0.110,0.110,0.000,0.096,0.362,0.784
ards48,10,0.774,0.841,0.808,0.608,0.500,0.169,0.390,1.517,0.159,0.126,0.139,0.304,0.000,0.048,0.318,1.301

sepsis48,1,0.496,0.745,0.614,0.131,0.500,0.000,1.802,0.000,0.040,0.034,0.017,0.115,0.000,0.000,0.000,0.000
sepsis48,2,0.467,0.657,0.565,0.141,0.500,0.340,1.400,0.639,0.014,0.109,0.049,0.176,0.000,0.059,0.055,0.010
sepsis48,3,0.476,0.696,0.593,0.111,0.500,0.339,1.324,0.978,0.014,0.088,0.041,0.154,0.000,0.138,0.062,0.219
sepsis48,4,0.465,0.636,0.555,0.000,0.500,0.418,1.242,0.983,0.002,0.092,0.044,0.000,0.000,0.063,0.053,0.030
sepsis48,5,0.472,0.677,0.583,0.069,0.500,0.312,1.158,1.792,0.010,0.094,0.040,0.100,0.000,0.115,0.112,0.533
