Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,HTFD_std
cic,1,0.709,0.833,0.755,0.517,0.500,0.000,0.000,0.011,0.012,0.014,0.023,0.000,0.000,nan
cic_los,1,0.465,0.666,0.487,0.475,0.362,0.000,0.000,0.005,0.010,0.007,0.012,0.004,0.000,nan
ards,1,0.574,0.755,0.619,0.294,0.500,0.000,0.000,0.007,0.006,0.005,0.016,0.000,0.000,nan
cic,3,0.703,0.815,0.746,0.521,0.500,0.317,0.000,0.004,0.027,0.018,0.016,0.000,0.078,nan
cic_los,2,0.465,0.664,0.485,0.479,0.357,0.248,0.000,0.004,0.005,0.004,0.007,0.015,0.032,nan
cic_los,3,0.468,0.663,0.488,0.477,0.364,0.204,0.000,0.006,0.010,0.008,0.009,0.013,0.049,nan
ards,2,0.560,0.737,0.611,0.276,0.500,0.617,0.000,0.024,0.006,0.013,0.017,0.000,0.185,nan
cic_los,4,0.468,0.663,0.487,0.477,0.370,0.161,0.000,0.007,0.005,0.006,0.007,0.010,0.056,nan
heart,1,0.829,0.908,0.911,0.805,0.500,0.000,0.000,0.051,0.028,0.025,0.063,0.000,0.000,nan
heart,2,0.822,0.908,0.909,0.799,0.500,0.356,0.000,0.038,0.029,0.024,0.045,0.000,0.112,nan
heart,3,0.835,0.903,0.907,0.812,0.500,0.227,0.000,0.054,0.037,0.028,0.063,0.000,0.066,nan
sepsis,1,0.840,0.902,0.850,0.712,0.500,0.000,0.000,0.007,0.007,0.008,0.012,0.000,0.000,nan
ards,3,0.558,0.735,0.610,0.295,0.500,0.523,0.000,0.012,0.019,0.009,0.020,0.000,0.181,nan
ards,4,0.554,0.707,0.594,0.275,0.500,0.376,0.000,0.028,0.018,0.016,0.026,0.000,0.088,nan
aki,1,0.634,0.684,0.667,0.627,0.500,0.000,0.000,0.007,0.006,0.005,0.010,0.000,0.000,nan
wid_mortality,1,0.699,0.868,0.743,0.485,0.500,0.000,0.000,0.006,0.003,0.004,0.009,0.000,0.000,nan
wid_mortality,2,0.692,0.854,0.723,0.470,0.500,0.413,0.000,0.003,0.010,0.015,0.016,0.000,0.068,nan
wid_mortality,4,0.686,0.847,0.714,0.466,0.500,0.365,0.000,0.013,0.010,0.021,0.009,0.000,0.069,nan
diabetes,1,0.487,0.580,0.565,0.339,0.500,0.000,0.000,0.014,0.003,0.003,0.014,0.000,0.000,nan
diabetes,2,0.487,0.570,0.558,0.336,0.500,0.441,0.000,0.011,0.006,0.004,0.013,0.000,0.117,nan
diabetes,3,0.471,0.573,0.560,0.323,0.500,0.370,0.000,0.021,0.004,0.002,0.016,0.000,0.096,nan
diabetes,4,0.479,0.568,0.555,0.329,0.500,0.342,0.000,0.015,0.005,0.006,0.014,0.000,0.083,nan
aki,1,0.638,0.684,0.666,0.632,0.500,0.000,0.000,0.006,0.005,0.005,0.005,0.000,0.000,nan
aki,2,0.635,0.681,0.665,0.626,0.500,0.409,0.000,0.005,0.005,0.006,0.008,0.000,0.044,nan
sepsis,1,0.835,0.908,0.849,0.702,0.500,0.000,0.000,0.005,0.005,0.003,0.011,0.000,0.000,nan
aki,3,0.627,0.679,0.658,0.604,0.500,0.345,0.000,0.004,0.007,0.010,0.014,0.000,0.044,nan
cic,2,0.712,0.820,0.753,0.522,0.500,0.373,0.000,0.014,0.021,0.023,0.027,0.000,0.064,nan
cic,4,0.697,0.811,0.743,0.507,0.500,0.282,0.000,0.017,0.013,0.014,0.035,0.000,0.088,nan
sepsis,2,0.832,0.900,0.850,0.703,0.500,0.406,0.000,0.007,0.008,0.004,0.013,0.000,0.115,nan
sepsis,3,0.813,0.885,0.828,0.670,0.500,0.305,0.000,0.008,0.011,0.009,0.024,0.000,0.077,nan
sepsis,4,0.816,0.869,0.820,0.687,0.500,0.260,0.000,0.003,0.008,0.004,0.009,0.000,0.066,nan
heart,4,0.825,0.900,0.895,0.808,0.500,0.183,0.000,0.028,0.035,0.044,0.040,0.000,0.040,nan
wid_mortality,3,0.691,0.851,0.721,0.464,0.500,0.374,0.000,0.004,0.006,0.011,0.013,0.000,0.066,nan
aki,4,0.639,0.671,0.656,0.628,0.500,0.301,0.000,0.004,0.005,0.007,0.007,0.000,0.036,nan
wid_mortality,2,0.672,0.864,0.740,0.474,0.500,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.065,nan
ards,1,0.574,0.759,0.619,0.290,0.500,0.000,0.000,0.013,0.009,0.003,0.028,0.000,0.000,nan
wid_mortality,4,0.692,0.847,0.724,0.467,0.500,0.370,0.000,0.004,0.006,0.007,0.008,0.000,0.066,nan
wid_mortality,3,0.688,0.852,0.730,0.474,0.500,0.386,0.000,0.006,0.005,0.009,0.007,0.000,0.059,nan
wid_mortality,2,0.685,0.856,0.727,0.469,0.500,0.411,0.000,0.012,0.007,0.012,0.006,0.000,0.069,nan
ards,2,0.562,0.733,0.611,0.286,0.500,0.508,0.000,0.018,0.018,0.011,0.023,0.000,0.171,nan
ards,3,0.570,0.713,0.599,0.271,0.500,0.429,0.000,0.018,0.033,0.014,0.022,0.000,0.117,nan
ards,4,0.570,0.716,0.602,0.284,0.500,0.414,0.000,0.015,0.015,0.013,0.026,0.000,0.102,nan
