Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,NMI,ARI,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,NMI_STD,ARI_STD
heart,2,0.762,0.810,0.803,0.000,0.766,0.158,0.191,0.181,0.037,0.079,0.083,0.000,0.036,0.084,0.121
heart,3,0.782,0.874,0.875,0.000,0.792,0.160,0.185,0.196,0.024,0.020,0.026,0.000,0.019,0.058,0.116
heart,4,0.773,0.834,0.823,0.000,0.779,0.094,0.178,0.141,0.024,0.018,0.019,0.000,0.026,0.055,0.076
cic,2,0.584,0.764,0.661,0.000,0.853,0.316,0.005,0.014,0.051,0.021,0.021,0.000,0.022,0.262,0.007
cic,3,0.575,0.742,0.645,0.000,0.785,0.239,0.010,0.037,0.056,0.014,0.014,0.000,0.114,0.093,0.011
cic,4,0.592,0.767,0.658,0.000,0.844,0.203,0.017,0.019,0.065,0.018,0.020,0.000,0.025,0.111,0.006
sepsis,2,0.530,0.598,0.538,0.000,0.908,0.325,0.001,0.008,0.040,0.029,0.014,0.000,0.023,0.193,0.001
sepsis,3,0.525,0.596,0.535,0.000,0.897,0.149,0.003,0.000,0.028,0.046,0.016,0.000,0.034,0.051,0.002
sepsis,4,0.517,0.600,0.533,0.000,0.918,0.198,0.003,0.006,0.029,0.021,0.009,0.000,0.006,0.113,0.002
aki,2,0.527,0.609,0.594,0.000,0.568,0.500,0.000,0.000,0.074,0.022,0.017,0.000,0.034,0.013,0.000
aki,3,0.541,0.605,0.594,0.000,0.570,0.476,0.001,0.000,0.028,0.007,0.010,0.000,0.011,0.015,0.001
aki,4,0.554,0.593,0.576,0.000,0.574,0.409,0.001,0.001,0.018,0.010,0.012,0.000,0.009,0.084,0.000
ards,2,0.521,0.597,0.542,0.000,0.881,0.301,0.000,-0.002,0.030,0.034,0.017,0.000,0.071,0.249,0.000
ards,3,0.509,0.595,0.538,0.000,0.905,0.505,0.002,0.001,0.019,0.021,0.007,0.000,0.033,0.036,0.003
ards,4,0.512,0.584,0.536,0.000,0.918,0.425,0.001,-0.006,0.029,0.036,0.019,0.000,0.010,0.166,0.001
wid_mortality,2,0.526,0.665,0.568,0.000,0.900,0.288,0.003,-0.028,0.044,0.064,0.030,0.000,0.024,0.146,0.002
wid_mortality,3,0.574,0.713,0.588,0.000,0.902,0.326,0.005,-0.006,0.064,0.023,0.014,0.000,0.009,0.033,0.003
wid_mortality,4,0.569,0.711,0.581,0.000,0.876,0.339,0.012,0.013,0.060,0.036,0.024,0.000,0.035,0.031,0.010
diabetes,2,0.490,0.541,0.536,0.000,0.571,0.160,0.001,-0.001,0.027,0.006,0.005,0.000,0.010,0.088,0.001
diabetes,3,0.499,0.537,0.530,0.000,0.568,0.110,0.002,-0.002,0.015,0.008,0.006,0.000,0.009,0.018,0.001
diabetes,4,0.499,0.542,0.533,0.000,0.568,0.086,0.001,-0.000,0.017,0.005,0.004,0.000,0.009,0.045,0.000
cic_los,2,0.401,0.601,0.421,0.000,0.444,0.110,0.001,0.001,0.033,0.009,0.007,0.000,0.017,0.089,0.001
cic_los,3,0.400,0.600,0.418,0.000,0.441,0.270,0.001,0.000,0.070,0.018,0.015,0.000,0.014,0.271,0.000
cic_los,4,0.390,0.602,0.421,0.000,0.453,0.187,0.001,0.001,0.016,0.009,0.012,0.000,0.011,0.026,0.001
