Dataset,k,F1,AUC,AUPRC,MINPSE,F1_std,AUC_std,AUPRC_std,MINPSE_std
heart,2,0.826,0.922,0.924,0.827,0.034,0.019,0.018,0.028
heart,3,0.818,0.920,0.921,0.822,0.021,0.020,0.020,0.010
heart,4,0.785,0.921,0.923,0.806,0.064,0.024,0.022,0.054
cic,2,0.736,0.827,0.740,0.544,0.025,0.015,0.021,0.043
cic,3,0.741,0.810,0.729,0.553,0.028,0.022,0.021,0.049
cic,4,0.747,0.799,0.733,0.564,0.029,0.023,0.025,0.052
cic_los,2,0.462,0.654,0.476,0.475,0.013,0.020,0.021,0.022
cic_los,3,0.476,0.650,0.468,0.489,0.023,0.026,0.031,0.023
cic_los,4,0.458,0.639,0.463,0.468,0.018,0.025,0.026,0.040
sepsis,2,0.657,0.652,0.641,0.470,0.042,0.024,0.013,0.110
sepsis,3,0.658,0.684,0.672,0.520,0.131,0.094,0.080,0.115
sepsis,4,0.678,0.705,0.688,0.557,0.085,0.036,0.030,0.130
diabetes,2,0.491,0.569,0.560,0.344,0.020,0.006,0.006,0.026
diabetes,3,0.458,0.565,0.555,0.315,0.020,0.005,0.005,0.020
diabetes,4,0.462,0.561,0.551,0.322,0.040,0.004,0.004,0.034
aki,2,0.648,0.694,0.676,0.641,0.016,0.017,0.018,0.021
aki,3,0.645,0.685,0.664,0.630,0.009,0.012,0.012,0.012
aki,4,0.642,0.690,0.671,0.625,0.014,0.016,0.018,0.019
ards,2,0.626,0.655,0.587,0.346,0.039,0.009,0.008,0.034
ards,3,0.620,0.658,0.585,0.323,0.026,0.020,0.012,0.044
ards,4,0.618,0.648,0.578,0.316,0.037,0.014,0.010,0.039
wid_mortality,2,0.698,0.788,0.699,0.487,0.011,0.022,0.014,0.021
wid_mortality,3,0.708,0.762,0.684,0.495,0.011,0.024,0.011,0.024
wid_mortality,4,0.714,0.790,0.684,0.484,0.008,0.015,0.009,0.012
