Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,NMI,ARI,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,NMI_STD,ARI_STD
cic,2,0.491,0.699,0.626,0.339,0.500,0.349,0.043,0.096,0.019,0.054,0.039,0.070,0.000,0.062,0.012
cic,3,0.511,0.716,0.623,0.267,0.500,0.217,0.044,0.033,0.038,0.057,0.030,0.189,0.000,0.142,0.014
cic,4,0.500,0.704,0.631,0.431,0.500,0.245,0.039,0.025,0.017,0.064,0.043,0.005,0.000,0.069,0.009
cic_los,2,0.394,0.616,0.434,0.522,0.397,0.381,0.027,0.034,0.014,0.037,0.036,0.100,0.009,0.203,0.016
cic_los,3,0.371,0.603,0.414,0.479,0.417,0.260,0.019,0.023,0.004,0.016,0.024,0.121,0.002,0.148,0.013
cic_los,4,0.370,0.593,0.414,0.444,0.437,0.217,0.023,0.027,0.020,0.015,0.017,0.007,0.046,0.082,0.009
heart,2,0.713,0.770,0.779,0.681,0.500,0.334,0.211,0.268,0.041,0.063,0.058,0.040,0.000,0.048,0.081
heart,3,0.788,0.864,0.869,0.778,0.500,0.290,0.144,0.177,0.065,0.069,0.072,0.060,0.000,0.064,0.038
heart,4,0.818,0.861,0.860,0.801,0.500,0.137,0.199,0.178,0.043,0.041,0.055,0.047,0.000,0.010,0.054
diabetes,2,0.419,0.564,0.552,0.290,0.500,0.533,0.001,0.000,0.029,0.009,0.006,0.023,0.000,0.285,0.000
diabetes,3,0.415,0.562,0.549,0.363,0.500,0.445,0.001,-0.004,0.033,0.014,0.013,0.097,0.000,0.275,0.001
diabetes,4,0.404,0.567,0.554,0.252,0.500,0.538,0.000,-0.001,0.022,0.008,0.008,0.060,0.000,0.274,0.000
sepsis,2,0.631,0.774,0.687,0.464,0.500,0.477,0.003,0.020,0.108,0.089,0.084,0.155,0.000,0.124,0.000
sepsis,3,0.564,0.760,0.637,0.377,0.500,0.532,0.006,0.007,0.112,0.056,0.051,0.143,0.000,0.103,0.004
sepsis,4,0.501,0.665,0.552,0.305,0.500,0.346,0.004,0.006,0.027,0.028,0.016,0.219,0.000,0.224,0.003
aki,2,0.615,0.641,0.633,0.612,0.500,0.573,0.001,0.001,0.004,0.018,0.009,0.005,0.000,0.127,0.001
aki,3,0.622,0.634,0.621,0.617,0.500,0.481,0.007,0.007,0.008,0.026,0.028,0.011,0.000,0.044,0.007
aki,4,0.620,0.630,0.617,0.614,0.500,0.346,0.011,0.009,0.001,0.032,0.037,0.005,0.000,0.095,0.007
ards,2,0.493,0.622,0.543,0.275,0.500,0.573,0.015,0.057,0.005,0.022,0.013,0.031,0.000,0.045,0.004
ards,3,0.514,0.684,0.585,0.289,0.500,0.534,0.010,0.037,0.022,0.022,0.010,0.066,0.000,0.114,0.006
ards,4,0.497,0.664,0.574,0.180,0.500,0.379,0.011,0.026,0.017,0.016,0.013,0.071,0.000,0.132,0.001
wid_mortality,2,0.539,0.759,0.646,0.294,0.500,0.784,0.015,0.033,0.081,0.061,0.047,0.208,0.000,0.052,0.001
wid_mortality,3,0.605,0.834,0.695,0.472,0.500,0.468,0.021,0.042,0.090,0.046,0.043,0.020,0.000,0.230,0.004
wid_mortality,4,0.662,0.866,0.727,0.451,0.500,0.285,0.023,0.052,0.003,0.005,0.006,0.007,0.000,0.088,0.003
