Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,HTFD_std
sepsis,1,0.698,0.834,0.728,0.552,0.500,0.000,1.802,0.079,0.017,0.032,0.068,0.000,0.000,0.000
sepsis,2,0.509,0.531,0.532,0.246,0.500,0.557,0.900,0.114,0.050,0.032,0.113,0.000,0.280,0.493
sepsis,3,0.562,0.522,0.532,0.190,0.500,0.158,1.260,0.007,0.025,0.011,0.010,0.000,0.084,0.023
sepsis,4,0.484,0.489,0.514,0.166,0.500,0.127,1.001,0.062,0.039,0.024,0.091,0.000,0.097,0.507
cic,1,0.647,0.815,0.711,0.428,0.500,0.000,1.802,0.023,0.014,0.013,0.024,0.000,0.000,0.000
cic,2,0.563,0.606,0.568,0.275,0.500,0.398,1.053,0.032,0.036,0.014,0.027,0.000,0.138,0.180
cic,3,0.522,0.535,0.527,0.179,0.500,0.340,0.546,0.027,0.059,0.028,0.064,0.000,0.159,0.473
cic,4,0.498,0.549,0.540,0.290,0.500,0.111,0.755,0.059,0.052,0.033,0.100,0.000,0.075,0.391
diabetes,1,0.469,0.569,0.554,0.323,0.500,0.000,1.802,0.008,0.005,0.007,0.008,0.000,0.000,0.000
diabetes,2,0.490,0.534,0.528,0.376,0.500,0.178,1.094,0.043,0.012,0.011,0.103,0.000,0.057,0.241
diabetes,3,0.466,0.517,0.514,0.311,0.500,0.140,1.148,0.044,0.020,0.016,0.082,0.000,0.018,0.214
diabetes,4,0.467,0.508,0.507,0.333,0.500,0.139,1.472,0.021,0.027,0.020,0.048,0.000,0.015,0.081
heart,1,0.818,0.890,0.900,0.801,0.500,0.000,1.802,0.042,0.029,0.024,0.045,0.000,0.000,0.000
heart,2,0.313,0.397,0.505,0.302,0.500,0.173,0.724,0.211,0.222,0.160,0.218,0.000,0.009,0.075
heart,3,0.529,0.638,0.669,0.479,0.500,0.171,0.534,0.165,0.183,0.151,0.219,0.000,0.009,0.048
heart,4,0.424,0.438,0.517,0.325,0.500,0.128,0.423,0.130,0.191,0.141,0.174,0.000,0.025,0.030
cic_los,1,0.422,0.632,0.448,0.456,0.384,0.000,1.802,0.014,0.006,0.007,0.011,0.009,0.000,0.000
cic_los,2,0.377,0.576,0.396,0.399,0.319,0.150,0.953,0.022,0.007,0.008,0.014,0.026,0.046,0.030
cic_los,3,0.307,0.524,0.353,0.315,0.338,0.197,0.815,0.040,0.026,0.019,0.045,0.155,0.098,0.107
cic_los,4,0.309,0.512,0.344,0.336,0.398,0.097,0.832,0.017,0.020,0.018,0.020,0.075,0.022,0.064
aki,1,0.627,0.658,0.643,0.617,0.500,0.000,1.802,0.006,0.008,0.011,0.009,0.000,0.000,0.000
aki,2,0.472,0.595,0.579,0.425,0.500,0.394,0.935,0.064,0.016,0.019,0.057,0.000,0.042,0.351
aki,3,0.462,0.546,0.537,0.380,0.500,0.352,1.003,0.057,0.035,0.027,0.062,0.000,0.037,0.110
aki,4,0.461,0.547,0.539,0.395,0.500,0.291,0.966,0.068,0.020,0.021,0.068,0.000,0.084,0.155
ards,1,0.564,0.721,0.602,0.307,0.500,0.000,1.802,0.024,0.006,0.007,0.024,0.000,0.000,0.000
ards,2,0.561,0.599,0.546,0.229,0.500,0.463,1.125,0.033,0.062,0.023,0.060,0.000,0.189,0.436
ards,3,0.381,0.514,0.514,0.261,0.500,0.350,1.002,0.208,0.055,0.025,0.149,0.000,0.014,0.145
ards,4,0.435,0.590,0.540,0.296,0.500,0.328,1.043,0.146,0.051,0.024,0.154,0.000,0.013,0.140
wid_mortality,1,0.673,0.861,0.716,0.463,0.500,0.000,1.802,0.004,0.001,0.006,0.008,0.000,0.000,0.000
wid_mortality,2,0.531,0.783,0.645,0.440,0.500,0.366,1.021,0.173,0.035,0.026,0.054,0.000,0.145,0.450
wid_mortality,3,0.445,0.669,0.565,0.405,0.500,0.227,1.117,0.119,0.068,0.037,0.072,0.000,0.019,0.148
wid_mortality,4,0.481,0.584,0.535,0.240,0.500,0.206,1.066,0.084,0.105,0.044,0.153,0.000,0.045,0.116
