cic	1	0.278	0.785	0.000	0.000
cic	2	0.331	0.826	0.393	0.893
cic	3	0.261	0.813	0.315	0.707
cic	4	0.165	0.807	0.092	0.785

sepsis	1	0.440	0.824	0.000	0.000
sepsis	2	0.492	0.840	nan	nan
sepsis	3	0.361	0.825	0.268	0.850
sepsis	4	0.382	0.828	nan	nan

aki	1	0.568	0.594	0.000	0.000
aki	2	0.542	0.617	0.629	0.742
aki	3	0.488	0.567	0.617	0.782
aki	4	0.575	0.592	0.852	0.732

ards	1	0.053	0.678	0.000	0.000
ards	2	0.030	0.651	0.636	0.806
ards	3	0.000	0.599	0.575	0.723
ards	4	0.019	0.648	nan	nan

wid_mortality	1	0.331	0.853	0.000	0.000
wid_mortality	2	0.282	0.849	0.398	0.946
wid_mortality	3	0.280	0.850	0.438	0.920
wid_mortality	4	0.217	0.798	0.421	0.910

diabetes	1	0.238	0.581	0.000	0.000
diabetes	2	0.154	0.557	0.495	0.972
diabetes	3	0.119	0.569	0.351	0.938
diabetes	4	0.092	0.575	nan	nan
