IDEC
cic	1	0.276	0.759	0.000	0.000
cic	2	0.202	0.723	0.455	0.891
cic	3	0.136	0.668	0.325	0.771
cic	4	0.233	0.813	0.290	0.630
sepsis	1	0.396	0.820	0.000	0.000
sepsis	2	0.487	0.840	0.472	0.860
sepsis	3	0.395	0.817	0.269	0.849
sepsis	4	0.371	0.827	0.165	0.848
aki	1	0.555	0.574	0.000	0.000
aki	2	0.542	0.601	0.709	0.804
aki	3	0.542	0.603	0.784	0.787
aki	4	0.552	0.593	0.666	0.732
ards	1	0.046	0.689	0.000	0.000
ards	2	0.030	0.636	0.890	0.871
ards	3	0.000	0.631	0.880	0.724
ards	4	0.005	0.609	0.828	0.701
wid_mortality	1	0.332	0.851	0.000	0.000
wid_mortality	2	0.282	0.849	0.378	0.938
wid_mortality	3	0.278	0.851	0.318	0.919
wid_mortality	4	0.254	0.830	0.619	0.878
diabetes	1	0.236	0.582	0.000	0.000
diabetes	2	0.155	0.567	0.458	0.978
diabetes	3	0.170	0.573	0.427	0.944
diabetes	4	0.148	0.577	0.150	0.94

