KMeans
cic	1	0.239	0.759	0.000	0.000
cic	2	0.392	0.724	0.452	0.872
cic	3	0.327	0.676	0.258	0.744
cic	4	0.312	0.672	0.212	0.543

sepsis	1	0.385	0.759	0.000	0.000
sepsis	2	0.239	0.644	0.455	0.865
sepsis	3	0.178	0.602	0.269	0.849
sepsis	4	0.151	0.577	0.133	0.846

aki	1	0.516	0.607	0.000	0.000
aki	2	0.099	0.447	0.403	0.820
aki	3	0.249	0.532	0.460	0.787
aki	4	0.092	0.427	0.470	0.728

ards	1	0.147	0.729	nan	nan
ards	2	0.066	0.604	nan	nan
ards	3	0.138	0.630	0.399	0.697
ards	4	0.113	0.609	0.418	0.741

cic	1	0.298	0.790	0.000	0.000
cic	2	0.362	0.748	0.452	0.872
cic	3	0.314	0.673	0.258	0.743
cic	4	0.268	0.659	0.212	0.543

sepsis	1	0.467	0.824	0.000	0.000
sepsis	2	0.233	0.636	0.454	0.862
sepsis	3	0.174	0.594	0.268	0.850
sepsis	4	0.144	0.569	0.133	0.846

aki	1	0.536	0.612	0.000	0.000
aki	2	0.009	0.415	0.403	0.820
aki	3	0.302	0.458	0.460	0.787
aki	4	0.238	0.462	0.470	0.728

ards	1	0.153	0.725	nan	nan
ards	2	0.054	0.596	nan	nan
ards	3	0.097	0.629	0.399	0.697
ards	4	0.050	0.584	0.418	0.740

wid_mortality	1	0.323	0.788	0.000	0.000
wid_mortality	2	0.282	0.766	0.221	0.942
wid_mortality	3	0.254	0.756	0.198	0.916
wid_mortality	4	0.161	0.692	0.178	0.817

diabetes	1	0.293	0.577	0.000	0.000
diabetes	2	0.138	0.527	0.249	1.000
diabetes	3	0.236	0.520	0.234	1.000
diabetes	4	0.181	0.510	0.150	0.944
